Filename,Clasificacion,Rectangularity1,Rectangularity2,HMean,SMean,Vmean,MeanGray,Eccentricity,Ellipcity,Orientation,Amount of touching pixels,Amount of Skin,Number of touched corners,Hue std,Perimeter,Compactness1,CentroideX,CentroideY,Size1,Size2,Polygonfillrate,Skinfillrate,Areacara
IMAGEN (1).jpg,Pornografico,0.268320654,0.683855799,36.9496409,66.27332066,158.8031686,0.330629489,0.314550493,0.330887833,0.823116116,0,32.32415018,0,38.64796485,1444.974747,0.07210783,242,284,3.900065104,2.840494792,42.4049479,16.16015625,0
IMAGEN (100).jpg,Pornografico,0.617989884,0.569989718,21.11676744,114.9916163,114.9012326,0.627639535,0.659344779,0.391974538,0.836100939,0,33.41918707,0,18.07672582,2575.124025,0.096881898,227,322,16.64208984,16.50585938,63.75887449,37.63509115,0
IMAGEN (103).jpg,Pornografico,0.396150367,0.530148374,14.93573927,66.72671145,146.4777858,0.44277386,1.397565343,0.534722053,0.460390292,0,16.75223299,0,14.54502185,3495.606348,0.033803723,187,365,10.69986979,3.877115885,40.95939157,26.02539063,0
IMAGEN (104).jpg,Pornografico,0.885226017,0.653089576,15.15196865,86.28671636,157.0955466,0.878019878,0.445311717,0.823110221,1.508377517,0,14.90196842,1,2.817576364,1339.580736,0.320689987,587,232,14.9070638,2.977539063,33.20805195,23.40332031,0
IMAGEN (105).jpg,Pornografico,0.371932421,0.473463156,14.00881897,64.7202804,165.9181419,0.446278589,1.308235816,0.486150476,0.485034722,0,3.731665811,0,2.919387898,1151.10974,0.102836171,240,359,3.529785156,2.256998698,44.00430927,21.17675781,0
IMAGEN (106).jpg,Pornografico,0.509707238,0.184398912,35.11919383,92.83206107,121.5764908,0.441536858,0.661012501,0.462255327,0.324269441,0,7.332492884,0,42.13973481,1802.236724,0.113526726,271,291,9.551920573,2.950358073,26.28183795,19.15299479,0
IMAGEN (108).jpg,Pornografico,0.451814113,0.673359148,23.34282165,76.48085774,174.6100811,0.50915272,0.249033101,0.230855699,0.549152903,0,8.105154704,0,39.80661223,1804.964646,0.131970336,311,232,11.13736979,1.97265625,52.58669506,17.52311198,2.80287656
IMAGEN (109).jpg,Pornografico,0.414246688,0.655651189,16.47586914,94.35206706,178.3476465,0.439785156,0.497692045,0.399280501,-0.519926145,0,21.94863997,1,14.2813527,4864.806491,0.067324635,365,296,41.27376302,1.775065104,53.33661084,44.40950521,0.473082853
IMAGEN (111).jpg,Pornografico,0.66686596,0.310355832,17.90409505,86.11447591,220.1563802,0.630061849,0.7247958,0.129372371,1.078805794,193555,23.92249583,1,21.84962222,5391.97388,0.088224505,316,216,66.4436849,4.822916667,68.04649141,64.55240885,0
IMAGEN (112).jpg,Pornografico,0.427385659,0.416270851,19.72426179,82.85719382,162.6344828,0.351194015,0.561017407,0.250134184,0.574826207,0,7.861610807,0,11.03585183,4355.264428,0.044770896,387,238,21.99853516,6.653483073,44.4887911,30.49414063,0
IMAGEN (113).jpg,Pornografico,0.591115582,0.723167172,16.66703267,92.04716634,186.3182159,0.590445339,0.536985861,0.368305455,-0.96488033,0,8.405550302,0,15.34032412,1947.952452,0.261372266,391,264,25.69124349,9.872884115,77.2227168,42.19108073,0
IMAGEN (114).jpg,Pornografico,0.437970668,0.520904206,35.60369141,58.63655273,205.6132813,0.410003255,0.105212747,0.211209198,1.173716882,0,10.89605009,0,46.79266717,5909.96082,0.048230533,370,274,43.63753255,6.572102865,50.9971522,41.92252604,0
IMAGEN (115).jpg,Pornografico,0.363139406,0.538919673,14.02255746,80.54708599,170.9614711,0.492463943,2.603350393,0.678085181,0.270041782,0,5.714518864,0,14.23069048,2405.106781,0.094877692,299,368,14.21679688,13.96191406,52.67257785,39.09635417,0
IMAGEN (116).jpg,Pornografico,0.431937266,0.402908478,16.99525448,104.6884222,202.2161698,0.555638892,0.593177583,0.423310783,0.94713097,0,5.725260034,0,17.0257711,2813.187084,0.079719385,296,211,16.3429362,11.67936198,61.73610186,37.84765625,0.165904555
IMAGEN (117).jpg,Pornografico,0.340596386,0.51529929,21.24774947,115.3658814,132.6024197,0.338632446,0.878407564,0.464502762,1.136266699,0,3.684208333,0,14.27190178,3425.689609,0.043730954,254,154,13.29394531,1.667317708,46.80897988,18.38964844,0
IMAGEN (118).jpg,Pornografico,0.499681751,0.601852023,15.19946237,87.87121212,136.5384286,0.524211877,0.189113749,0.342573477,-1.282366768,0,5.590383834,0,18.24750983,3251.917964,0.093098946,244,225,25.50309245,2.263997396,55.89008898,31.3984375,0
IMAGEN (119).jpg,Pornografico,0.32197829,0.53911057,36.60013585,92.56225203,138.6279852,0.445559381,0.392173824,0.45267198,1.161150218,0,1.806341786,0,47.54772047,1630.205194,0.097615588,124,328,6.720052083,5.761393229,42.51595201,20.69010417,0
IMAGEN (120).jpg,Pornografico,0.399058352,0.441091991,24.8757539,76.96777894,139.512931,0.477653402,0.491223789,0.450005482,1.117283506,0,3.462038973,0,34.66989176,3478.202236,0.049813572,233,277,15.61083984,4.311686198,44.68419365,28.56380208,0
IMAGEN (121).jpg,Pornografico,0.648892854,0.751933405,25.90411822,102.1924903,182.8522771,0.648449612,0.783260283,0.324370635,-0.43662716,0,1.519517351,1,30.17214278,1376.173665,0.172542143,475,250,8.46468099,6.836425781,64.05970278,26.47558594,0
IMAGEN (122).jpg,Pornografico,0.42426957,0.3693336,43.8771233,73.09201836,135.5788611,0.40952381,1.002356714,0.443073866,1.445198325,0,1.5000744,0,59.03428978,1655.158513,0.125842615,76,321,8.930501302,2.664388021,33.18411763,18.73046875,0
IMAGEN (123).jpg,Pornografico,0.500615211,0.570367858,20.481424,91.35391406,157.7511398,0.468716655,0.336750896,0.236320135,-0.43662716,0,0.526464311,0,3.396212687,1093.244733,0.096141589,339,331,2.9765625,0.830078125,38.33885283,7.172851563,0
IMAGEN (124).jpg,Pornografico,0.381750121,0.361227409,24.54211199,94.41205495,142.9099075,0.526260573,0.628086684,0.374094669,0.929618094,0,1.694986843,0,35.48777977,2119.567676,0.060303692,184,220,7.017903646,2.596516927,36.02908248,20.05598958,0
IMAGEN (125).jpg,Pornografico,0.349603897,0.597981375,27.32266099,87.11988654,136.6323982,0.364268936,0.535141541,0.372087824,-1.545028835,0,2.086164508,0,37.05297769,2137.432683,0.092935371,313,246,10.99853516,2.684570313,44.20602336,25.83528646,0
IMAGEN (126).jpg,Pornografico,0.674294894,0.765012267,15.64485201,104.679689,184.8303221,0.568890472,0.703037158,0.289189576,-0.208758707,0,6.791390423,1,19.51473999,4632.095813,0.096209586,335,285,53.47395833,3.026855469,67.7586463,48.76920573,0
IMAGEN (127).jpg,Pornografico,0.451339242,0.53686239,13.81793518,90.70442166,151.6333851,0.558185772,0.993979383,0.429684439,-0.388689501,0,2.449450323,0,19.54129322,2822.812409,0.060147161,416,350,12.41503906,3.013671875,61.9336467,28.17447917,0
IMAGEN (128).jpg,Pornografico,0.25071301,0.396607905,28.67775053,77.3848172,163.58638,0.335367593,0.636889323,0.395828384,1.306307944,0,0.522054818,0,38.72798914,1110.808225,0.081749473,165,385,2.612955729,2.284830729,34.47934525,20.45735677,0
IMAGEN (129).jpg,Pornografico,0.58976069,0.650914805,16.57324609,97.40969158,173.8281184,0.606710846,0.727832863,0.086988706,-0.51238946,108489,4.488922616,1,32.57676476,2292.86414,0.250882772,196,337,34.16617839,15.1015625,63.24678192,54.90950521,0
IMAGEN (130).jpg,Pornografico,0.591013739,0.600291171,25.05301214,94.06834743,157.0621428,0.457148583,0.248759227,0.22848735,-1.144168834,0,2.295941168,0,34.00711948,2514.025612,0.126266648,360,266,20.6726888,3.05875651,59.46940006,22.09342448,0
IMAGEN (131).jpg,Pornografico,0.593074069,0.525636201,13.89768977,84.26297585,201.0908532,0.57012458,0.553297895,0.219415533,-0.403479358,0,2.183266067,0,4.984624226,3048.500792,0.0662187,154,280,15.94124349,9.547688802,67.1825342,50.61816406,0.644979114
IMAGEN (132).jpg,Pornografico,0.478233732,0.472413715,32.44772118,118.3742019,170.459827,0.40756198,0.683406966,0.796194773,0.180551824,0,0.549259807,0,36.49087014,1024.582828,0.170964032,295,426,4.649088542,3.153483073,42.57358433,16.69173177,0
IMAGEN (133).jpg,Pornografico,0.691240227,0.731277808,14.78841146,162.1217253,151.0803581,0.680852865,1.119437953,0.308523082,1.104646638,209158,7.227642507,1,23.34474958,7223.583187,0.050953015,311,240,68.87223307,0.49593099,68.31223926,69.0563151,0
IMAGEN (134).jpg,Pornografico,0.803794023,0.347793292,13.60439779,126.3449805,127.6541797,0.631028646,0.710273246,0.120208225,1.509064707,193852,6.278172136,1,14.70128629,5916.150504,0.088330857,317,239,80.08658854,4.693847656,63.36773427,65.28613281,0
IMAGEN (135).jpg,Pornografico,0.736207855,0.315110418,10.60097826,190.3804382,142.0181216,0.65205163,0.754999711,0.354131167,-1.069133646,191964,5.849190558,1,10.13524309,4740.098772,0.120767222,287,277,70.2898763,8.614095052,65.7094987,64.84277344,0
IMAGEN (136).jpg,Pornografico,0.412564488,0.4514008,30.10815464,74.55353144,148.2465287,0.371402777,0.759368264,0.575211562,0.233022027,0,1.589404727,0,49.48308046,2691.030663,0.087464793,152,190,16.40738932,1.027994792,48.87336751,19.4514974,0
IMAGEN (137).jpg,Pornografico,0.642919059,0.620181002,17.58755253,83.23061518,182.2152286,0.668518884,0.127955765,0.315730277,1.299849476,0,1.386695655,0,27.9374003,1715.359523,0.193221633,338,352,14.72770182,3.372233073,55.68921804,26.45214844,0
IMAGEN (138).jpg,Pornografico,0.619269381,0.642588272,11.95120045,98.47285036,152.9515145,0.562862926,0.495989161,0.228467468,-1.393968536,161294,4.496221834,1,17.04674449,6944.931383,0.046061209,256,276,57.54931641,2.887044271,57.56614466,56.65559896,0.998181652
IMAGEN (139).jpg,Pornografico,0.685394629,0.303654976,10.56691404,83.11533704,185.9832406,0.779839208,0.73109944,0.653639365,0.244978663,0,0.346528246,0,16.72494961,579.8893937,0.391690445,264,315,3.411946615,3.302246094,65.43395122,16.93489583,0
IMAGEN (140).jpg,Pornografico,0.527870738,0.530374157,18.25865436,80.3580938,181.1413322,0.483168346,0.200246769,0.238282156,1.355980926,0,1.749693754,0,23.23334713,4124.161831,0.03957968,335,260,17.43863932,2.427408854,63.91559508,21.77311198,0
IMAGEN (141).jpg,Pornografico,0.465052924,0.522883578,26.54195432,74.12477049,192.156351,0.484163851,0.631391558,0.324711366,-0.321750554,0,1.399792814,0,40.66505869,3310.774962,0.051049162,290,319,14.49495443,2.588704427,58.95061115,21.07486979,0
IMAGEN (142).jpg,Pornografico,0.379945731,0.471202932,17.101132,160.1320379,130.8091166,0.679632167,0.366723702,0.341755907,0.590974363,0,3.146096383,1,26.65115072,3938.525179,0.055636153,320,206,22.35595703,15.02327474,68.17301485,52.1344401,0
IMAGEN (143).jpg,Pornografico,0.470271664,0.506134231,21.77265284,67.72726959,169.8293259,0.46400193,0.454869423,0.194280759,1.32323369,0,0.674339069,0,35.76440166,1539.116882,0.129494772,415,382,7.946289063,6.23421224,49.37182597,22.71126302,0
IMAGEN (144).jpg,Pornografico,0.363275175,0.616361943,14.805174,62.99687027,209.4742666,0.412218386,0.872916894,0.463078586,0.414905758,0,0.815039694,0,23.76372932,1809.633693,0.090063924,396,186,7.640136719,2.961425781,41.54078913,26.88802083,0
IMAGEN (145).jpg,Pornografico,0.5543869,0.511954622,11.52355075,89.53427269,203.6668607,0.588188613,0.746263779,0.295020178,0.494611161,0,3.235680221,0,16.00168204,4240.088671,0.089470906,328,325,41.66780599,2.44938151,66.90053115,48.72526042,0
IMAGEN (146).jpg,Pornografico,0.537074435,0.631996173,36.16133545,99.96113034,156.0864356,0.519271809,0.508569187,0.225913368,-0.692572606,0,2.035996536,0,48.58858872,4159.208512,0.065491226,303,341,29.34765625,0.84358724,75.86577491,28.58365885,0
IMAGEN (147).jpg,Pornografico,0.52327673,0.396812244,25.4847722,120.9173141,168.4555701,0.530279487,0.751590229,0.733594558,0.092811347,0,1.158515154,1,34.65811957,2525.734198,0.078861233,287,407,13.03190104,10.6788737,57.59945615,38.6858724,0
IMAGEN (148).jpg,Pornografico,0.475104949,0.302823537,37.31184471,52.22852109,232.1347856,0.434878844,0.665650042,0.365800424,0.678540316,0,0.66684426,0,42.18088124,1237.193001,0.211506133,158,261,8.386230469,4.096842448,43.78958752,19.76595052,0
IMAGEN (149).jpg,Pornografico,0.541787937,0.30342678,19.63875372,114.3596948,175.5427002,0.54908235,0.587117854,0.256131301,1.485799809,0,2.676975343,0,22.8818827,4364.13326,0.076687838,218,242,37.83479818,18.98649089,61.55141772,58.20279948,0.825324447
IMAGEN (150).jpg,Pornografico,0.650280481,0.52849777,13.6683724,118.283112,189.5723438,0.6709375,0.191595574,0.213852385,-0.350166676,206112,4.241164806,1,13.23420923,6537.985207,0.058513906,310,239,64.79117839,2.469075521,70.27267905,68.34244792,0
IMAGEN (151).jpg,Pornografico,0.524503318,0.580726902,12.84638672,121.9016569,187.9667741,0.630904948,0.305853722,0.350788397,0.472800671,193814,3.835158662,1,9.115334669,5338.573952,0.070785443,334,234,52.25927734,9.20328776,65.62829728,64.30729167,0
IMAGEN (152).jpg,Pornografico,0.45701467,0.354827921,14.8679479,110.764426,177.6768425,0.573016419,0.467366396,0.074555478,-0.827444565,0,2.499184194,0,14.91909944,3609.478498,0.092758999,351,238,31.30501302,7.854492188,60.68982519,49.02376302,0
IMAGEN (153).jpg,Pornografico,0.850183915,0.55972987,12.20301383,121.657024,200.2687994,0.861791831,0.204592902,0.642269361,1.570796327,104656,1.924771409,1,1.93241986,1948.47518,0.339679273,110,240,33.40625,22.00260417,77.55763471,77.59277344,0
IMAGEN (154).jpg,Pornografico,0.764488812,0.432393437,14.39089518,120.2353027,188.2048372,0.69351888,1.10394204,0.216916597,1.133369441,213049,3.770531841,1,6.974514883,7089.225756,0.058508607,306,232,76.17041016,4.498372396,70.28194898,71.51822917,0
IMAGEN (155).jpg,Pornografico,0.604862765,0.49299832,18.16270833,117.8807389,185.382041,0.596035156,0.618161288,0.235125718,1.565733079,0,3.138816814,0,21.00047085,8826.967097,0.029859331,323,254,60.26595052,2.336588542,61.58890007,60.67513021,0
IMAGEN (156).jpg,Pornografico,0.46205384,0.782700898,15.36108542,147.8260797,134.2401012,0.528854376,0.499333053,0.547315428,0.939716939,0,1.010550493,1,13.17789686,2962.025612,0.063365414,434,167,14.40120443,6.314941406,61.33461415,55.97460937,0
IMAGEN (157).jpg,Pornografico,0.489721315,0.425655412,24.78592683,63.58163334,167.3281163,0.444773024,0.301098865,0.263552102,-1.234962197,0,1.186101859,0,42.23479438,2462.243866,0.124962187,155,272,19.625,15.21468099,53.54168232,38.2093099,0
IMAGEN (158).jpg,Pornografico,0.460247777,0.64107884,13.9449756,111.5561723,190.7644232,0.500636063,0.687576293,0.115656179,-0.733076882,0,1.619312488,0,26.934342,4044.130301,0.056744249,268,255,24.04036458,2.321614583,55.5762896,36.76920573,0
IMAGEN (159).jpg,Pornografico,0.422352486,0.597983583,44.75606842,38.04157772,215.5384675,0.259567399,1.173487377,0.505184004,0.512581657,0,0.58609926,0,56.02434043,2055.758585,0.135923913,255,350,14.88020833,2.764160156,47.38123216,14.76269531,0
IMAGEN (160).jpg,Pornografico,0.310935512,0.604373715,23.88184166,79.04609845,117.7798532,0.407424303,1.643636386,0.489539847,0.113499738,0,0.789261686,0,35.09826742,2707.4987,0.062628294,267,329,11.89257813,2.6015625,50.31303407,24.16471354,0
IMAGEN (161).jpg,Pornografico,0.429713394,0.366097595,19.31921171,97.72813211,132.6754357,0.478247366,0.553884275,0.346589619,0.627308192,0,1.528813696,0,33.66401256,3819.963779,0.075921182,199,242,28.69791667,7.959635417,55.24575376,36.22591146,0
IMAGEN (162).jpg,Pornografico,0.320050715,0.559147092,52.27189487,62.86785036,184.8059078,0.342290988,0.149855129,0.485071875,-1.412141065,0,1.080719406,0,63.7793425,4081.245958,0.048411996,301,217,20.88850911,7.067220052,41.76978685,29.41959635,0
IMAGEN (163).jpg,Pornografico,0.373941186,0.473907926,22.5599681,49.27966507,184.7780702,0.277671451,0.745727304,0.777375802,0.278299659,0,0.053190758,0,49.57986155,484.7350647,0.137286194,209,276,0.835611979,0.817057292,22.6781362,4.006835938,0
IMAGEN (164).jpg,Pornografico,0.434763038,0.68840756,37.04764315,53.41910064,207.3978817,0.352552053,2.925919378,0.717659972,0.92630217,0,0.146702201,1,42.24684889,825.1858582,0.13447919,574,305,5.017252604,3.758300781,49.49039201,34.07747396,0
IMAGEN (165).jpg,Pornografico,0.453903372,0.693907959,18.17214469,98.86448415,143.470523,0.498989174,0.92496123,0.547976707,0.271252007,0,0.68153902,0,17.29701935,2340.344371,0.089749602,322,284,12.73388672,9.691894531,56.21899688,28.69108073,0.10267102
IMAGEN (166).jpg,Pornografico,0.406781961,0.611454528,12.89883993,78.84838406,174.2860792,0.436240599,0.342067719,0.428996574,1.528862881,0,0.721012968,0,13.13781191,2870.13326,0.068180445,303,225,14.54899089,5.181966146,54.2046113,29.1796875,0
IMAGEN (167).jpg,Pornografico,0.363338201,0.617252296,16.50723574,76.79635971,157.4242183,0.336064571,0.565735825,0.428231158,0.557923183,0,0.240494256,0,9.492781287,1547.359523,0.084160811,331,206,5.219889323,2.571289063,55.73664512,11.21126302,0
IMAGEN (168).jpg,Pornografico,0.407720662,0.719710287,15.31316976,89.77529316,153.9890402,0.462475194,0.169644936,0.518432156,0.214592881,0,0.741091829,1,11.84664448,2516.108873,0.075191148,382,326,12.33089193,3.271158854,45.30067308,20.70540365,0
IMAGEN (169).jpg,Pornografico,0.327173514,0.463459087,15.31976461,70.05384537,181.6172129,0.405894886,0.209937111,0.562788148,-0.015623729,0,1.14312754,0,14.74589466,4236.490691,0.044585845,272,263,20.72900391,2.94156901,52.86187639,26.82161458,0
IMAGEN (17).jpg,Pornografico,0.716591213,0.46271995,19.28414352,82.32094907,155.340787,0.720324074,1.004802342,0.903977458,1.47298833,31118,0.441208831,1,24.50921177,1169.137085,0.280851011,605,212,9.944335938,2.861816406,27.66330237,17.57421875,0
IMAGEN (170).jpg,Pornografico,0.490251074,0.393306048,24.37152456,74.17979611,187.7692308,0.468576228,0.260669957,0.318899551,1.543775878,0,0.22840178,0,30.91129424,808.3574311,0.299100522,309,284,5.062825521,2.880045573,51.2325735,10.10904948,0
IMAGEN (171).jpg,Pornografico,0.523757373,0.399532054,41.62969076,117.1148991,150.8125879,0.413173828,1.890238068,0.544451317,0.704494064,0,1.760308617,0,52.67476038,4844.196318,0.075123547,286,216,45.66552734,2.213541667,60.92724707,42.20084635,0
IMAGEN (172).jpg,Pornografico,0.339723057,0.438292523,23.37853311,70.8906798,119.9037549,0.382014648,0.153148591,0.501544374,0,0,0.204358282,0,48.02250647,1188.648845,0.094184227,156,265,3.447102865,2.757486979,38.239159,12.95865885,0
IMAGEN (173).jpg,Pornografico,0.338910552,0.444011033,20.75080906,54.80337494,184.842626,0.346740638,0.373862606,0.512231988,-0.21293835,0,0.103083687,1,46.17844885,967.8721497,0.092935526,488,427,2.255208333,2.202311198,23.10944471,9.014973958,0
IMAGEN (174).jpg,Pornografico,0.338156637,0.602037504,12.70173937,52.69944124,190.4420512,0.335796683,0.356906342,0.076406419,0.995371676,0,0.101967178,0,32.5231552,1284.624458,0.052005156,400,370,2.223144531,2.06656901,32.07100154,11.00716146,0
