@relation 'CaracteristicasTEST-weka.filters.unsupervised.attribute.Remove-R1,5-12,14-15,18-19,24-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,1'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute 'Amount of Skin' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Clasificacion {NoPornografico,Pornografico}

@data
0.402001,0.24467,59.041021,1500.070201,0.135662,7.907715,1.555827,33.326808,12.545898,NoPornografico
0.296402,0.720028,43.454215,1543.962554,0.085907,5.30485,2.363444,34.975841,13.949219,NoPornografico
0.543357,0.701797,94.346797,1129.862048,0.272828,9.022135,0.419434,41.321287,9.07487,NoPornografico
0.522222,0.41575,34.392471,914.139177,0.200372,4.337402,2.25944,29.98949,12.867513,NoPornografico
0.421488,0.727547,65.07499,1676.954544,0.105757,7.704102,2.431315,45.290553,14.172852,NoPornografico
0.453451,0.473718,26.082381,1445.570635,0.086761,4.696452,3.645345,32.806658,19.488281,NoPornografico
0.420816,0.700689,47.110776,1778.82251,0.063916,5.238932,3.474935,30.772593,13.379232,NoPornografico
0.689429,0.46754,35.446286,387.379726,0.417238,1.621908,0.569336,16.493817,4.693685,NoPornografico
0.409813,0.318345,32.9311,1029.629509,0.076082,2.089355,0.954102,35.743074,6.878906,NoPornografico
0.3435,0.343776,37.634388,2800.770778,0.044111,8.963379,8.913574,43.251626,33.517904,NoPornografico
0.797728,0.630797,34.032388,466.409163,0.378226,2.131348,1.662109,22.058716,6.472656,NoPornografico
0.628921,0.650661,55.917834,2378.430591,0.232884,34.126302,29.827474,69.951748,66.272135,NoPornografico
0.71073,0.527686,26.198885,305.580736,0.423299,1.023926,0.939941,29.000413,4.147461,NoPornografico
0.636855,0.632096,34.23047,333.137085,0.360413,1.036133,0.944824,24.553783,3.35026,NoPornografico
0.592103,0.413587,78.155998,4158.618541,0.092757,41.553874,15.123372,56.327062,50.635742,NoPornografico
0.84519,0.805607,38.896351,999.019336,0.442487,11.439779,10.622884,50.07899,29.807617,NoPornografico
0.439791,0.484129,25.46591,594.534055,0.146721,1.343424,0.472982,18.22836,5.624349,NoPornografico
0.471568,0.693408,14.243085,539.865007,0.169468,1.27946,1.156738,32.493044,10.145182,NoPornografico
0.762,0.668567,14.779536,188.468037,0.650426,0.59847,0.536458,19.787712,4.23763,NoPornografico
0.600097,0.45616,43.314237,589.605122,0.247164,2.225749,0.713867,19.138635,5.341146,NoPornografico
0.562234,0.997283,100,6767.99235,0.047211,56.018555,0.238932,56.34455,55.033854,NoPornografico
0.338038,0.462621,40.8879,1103.612265,0.118611,3.742188,1.923503,32.211,10.683268,NoPornografico
0.550493,0.629011,54.130292,1195.796031,0.232635,8.617025,2.590658,34.621872,15.325195,NoPornografico
0.535076,0.386819,20.627502,822.801082,0.213786,3.749186,3.722819,44.934162,19.432617,NoPornografico
0.569926,0.725093,35.087057,542.291414,0.267561,2.038249,1.141927,17.301606,6.038737,NoPornografico
0.288623,0.492205,47.445738,2024.555483,0.077019,8.177572,2.502604,42.63351,21.161784,NoPornografico
0.588695,0.642442,29.837562,735.386868,0.158197,2.216146,1.683757,53.042426,7.775391,NoPornografico
0.53613,0.434905,49.041365,2766.251009,0.070683,14.010905,7.205241,41.107373,30.510091,NoPornografico
0.372356,0.430315,35.246635,1170.222438,0.140312,4.977376,4.577962,33.866542,14.920898,NoPornografico
0.275745,0.448706,39.903846,1751.124025,0.080205,6.370931,5.453288,25.50388,19.364583,NoPornografico
0.354848,0.856077,44.575213,1543.803174,0.097269,6.005208,2.525553,27.629016,16.318685,NoPornografico
0.568564,0.679074,53.822781,2931.193001,0.130187,28.975098,28.53304,54.380555,54.531901,NoPornografico
0.538366,0.640291,24.358321,889.362482,0.140619,2.881185,2.306803,21.858761,12.783854,NoPornografico
0.714791,0.625798,49.215021,2333.065151,0.153627,21.661621,18.064616,63.404536,43.85319,NoPornografico
0.586628,0.542783,20.272051,417.823376,0.262735,1.188151,0.474935,7.07341,6.174154,NoPornografico
0.481466,0.383568,43.703904,2369.442784,0.078411,11.403483,5.610352,37.431461,27.717448,NoPornografico
0.681505,0.421394,20.124314,1092.943218,0.171607,5.310059,5.012858,52.972441,27.389974,NoPornografico
0.296402,0.720028,43.454215,1543.962554,0.085907,5.30485,2.363444,34.975841,13.949219,NoPornografico
0.531259,0.347043,48.544789,2661.307791,0.089803,16.475911,12.429199,45.442712,33.061849,NoPornografico
0.494723,0.442074,79.769802,2684.368758,0.105204,19.637533,3.94873,46.851843,23.898112,NoPornografico
0.558442,0.630366,42.174123,2139.349422,0.064859,7.689616,4.83903,52.665763,18.212565,NoPornografico
0.517866,0.454996,77.644072,1955.98694,0.095254,9.440267,1.056478,43.916687,12.822266,NoPornografico
0.680742,0.224118,100,4838.105915,0.111511,67.613932,2.969564,64.380146,61.02474,NoPornografico
0.358789,0.420042,30.936318,1158.222438,0.080912,2.811686,1.833008,45.292352,10.325521,NoPornografico
0.665132,0.657165,21.987744,986.333044,0.115711,2.916016,1.234538,23.679156,14.129557,NoPornografico
0.523852,0.532887,68.135906,4133.436867,0.056684,25.087077,13.960775,66.179385,45.182943,NoPornografico
0.731251,0.637441,52.261292,990.381818,0.450739,11.452474,10.902181,68.48667,22.19043,NoPornografico
0.283752,0.562685,85.380614,3764.559667,0.029053,10.665527,1.197591,51.443444,18.396484,NoPornografico
0.31771,0.411846,67.170212,5118.507935,0.031461,21.351237,18.809245,49.747052,46.868164,NoPornografico
0.527425,0.477432,85.436875,5355.769912,0.06275,46.626139,9.827148,56.419594,53.189779,NoPornografico
0.633872,0.562055,58.83641,891.529004,0.394861,8.129883,4.778971,42.382395,12.784831,NoPornografico
0.423851,0.484546,36.730509,3157.197185,0.051555,13.312012,6.674967,48.582353,42.06543,NoPornografico
0.811878,0.374879,100,5465.790114,0.104528,80.89209,10.002116,63.136066,61.82487,NoPornografico
0.696508,0.447187,23.505569,725.002092,0.342317,4.66097,3.73763,39.598096,19.435221,NoPornografico
0.736604,0.737562,59.98424,419.261977,0.540635,2.461751,1.20166,22.681604,4.130859,NoPornografico
0.559952,0.772672,99.985388,5914.695885,0.059637,54.044108,0.820964,68.43921,55.694987,Pornografico
0.547704,0.841432,95.417259,3749.076477,0.082007,29.858398,2.484375,61.411609,29.286458,Pornografico
0.578297,0.597666,66.3489,3232.008368,0.105754,28.616211,10.795736,60.120257,45.483398,Pornografico
0.854763,0.309316,100,2769.467171,0.376164,74.737467,4.216634,73.469763,60.750326,Pornografico
0.707113,0.324269,100,4348.944443,0.1396,68.394531,1.50651,80.767586,61.522786,Pornografico
0.618762,0.807982,87.60884,3170.518036,0.186949,48.680339,8.863607,77.564136,64.265299,Pornografico
0.507419,0.36334,100,3863.461254,0.095677,36.993978,0.435384,70.5419,35.967773,Pornografico
0.594426,0.619808,91.128105,4474.272437,0.085942,44.567383,3.938965,69.523647,49.845052,Pornografico
0.522208,0.471018,97.013641,4348.909955,0.098054,48.039063,4.82373,59.339825,47.655924,Pornografico
0.525938,0.532784,63.924111,3090.008368,0.083548,20.664388,10.30013,70.395973,41.28125,Pornografico
0.620943,0.723944,58.165941,2533.231673,0.194647,32.356934,13.88737,75.447315,63.930664,Pornografico
0.415834,0.532632,17.348348,1791.820418,0.049843,4.145345,3.684733,47.464378,26.391276,Pornografico
0.325985,0.8167,86.809978,3990.019695,0.057277,23.621257,2.945964,53.857127,49.380859,Pornografico
0.77175,0.635056,100,3174.327127,0.258632,67.507813,1.844727,91.342511,69.626302,Pornografico
0.585762,0.236486,42.709981,1353.293506,0.243436,11.548828,9.875488,58.542536,27.776367,Pornografico
0.365135,0.495882,100,4735.488599,0.062628,36.380534,13.623861,53.23483,52.835286,Pornografico
0.780262,0.414913,100,6701.715221,0.066821,77.742025,1.88737,69.873489,69.169922,Pornografico
0.532773,0.348732,97.670799,5195.901946,0.062593,43.774251,6.402507,62.60574,49.990885,Pornografico
