@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.268321,0.683856,36.949641,66.273321,158.803169,0.330629,0.31455,0.330888,0.823116,0,32.32415,0,38.647965,1444.974747,0.072108,242,284,3.900065,2.840495,42.404948,16.160156,0,Pornografico
0.61799,0.56999,21.116767,114.991616,114.901233,0.62764,0.659345,0.391975,0.836101,0,33.419187,0,18.076726,2575.124025,0.096882,227,322,16.64209,16.505859,63.758874,37.635091,0,Pornografico
0.39615,0.530148,14.935739,66.726711,146.477786,0.442774,1.397565,0.534722,0.46039,0,16.752233,0,14.545022,3495.606348,0.033804,187,365,10.69987,3.877116,40.959392,26.025391,0,Pornografico
0.885226,0.65309,15.151969,86.286716,157.095547,0.87802,0.445312,0.82311,1.508378,0,14.901968,1,2.817576,1339.580736,0.32069,587,232,14.907064,2.977539,33.208052,23.40332,0,Pornografico
0.371932,0.473463,14.008819,64.72028,165.918142,0.446279,1.308236,0.48615,0.485035,0,3.731666,0,2.919388,1151.10974,0.102836,240,359,3.529785,2.256999,44.004309,21.176758,0,Pornografico
0.509707,0.184399,35.119194,92.832061,121.576491,0.441537,0.661013,0.462255,0.324269,0,7.332493,0,42.139735,1802.236724,0.113527,271,291,9.551921,2.950358,26.281838,19.152995,0,Pornografico
0.451814,0.673359,23.342822,76.480858,174.610081,0.509153,0.249033,0.230856,0.549153,0,8.105155,0,39.806612,1804.964646,0.13197,311,232,11.13737,1.972656,52.586695,17.523112,2.802877,Pornografico
0.414247,0.655651,16.475869,94.352067,178.347646,0.439785,0.497692,0.399281,-0.519926,0,21.94864,1,14.281353,4864.806491,0.067325,365,296,41.273763,1.775065,53.336611,44.409505,0.473083,Pornografico
0.666866,0.310356,17.904095,86.114476,220.15638,0.630062,0.724796,0.129372,1.078806,193555,23.922496,1,21.849622,5391.97388,0.088225,316,216,66.443685,4.822917,68.046491,64.552409,0,Pornografico
0.427386,0.416271,19.724262,82.857194,162.634483,0.351194,0.561017,0.250134,0.574826,0,7.861611,0,11.035852,4355.264428,0.044771,387,238,21.998535,6.653483,44.488791,30.494141,0,Pornografico
0.591116,0.723167,16.667033,92.047166,186.318216,0.590445,0.536986,0.368305,-0.96488,0,8.40555,0,15.340324,1947.952452,0.261372,391,264,25.691243,9.872884,77.222717,42.191081,0,Pornografico
0.437971,0.520904,35.603691,58.636553,205.613281,0.410003,0.105213,0.211209,1.173717,0,10.89605,0,46.792667,5909.96082,0.048231,370,274,43.637533,6.572103,50.997152,41.922526,0,Pornografico
0.363139,0.53892,14.022557,80.547086,170.961471,0.492464,2.60335,0.678085,0.270042,0,5.714519,0,14.23069,2405.106781,0.094878,299,368,14.216797,13.961914,52.672578,39.096354,0,Pornografico
0.431937,0.402908,16.995254,104.688422,202.21617,0.555639,0.593178,0.423311,0.947131,0,5.72526,0,17.025771,2813.187084,0.079719,296,211,16.342936,11.679362,61.736102,37.847656,0.165905,Pornografico
0.340596,0.515299,21.247749,115.365881,132.60242,0.338632,0.878408,0.464503,1.136267,0,3.684208,0,14.271902,3425.689609,0.043731,254,154,13.293945,1.667318,46.80898,18.389648,0,Pornografico
0.499682,0.601852,15.199462,87.871212,136.538429,0.524212,0.189114,0.342573,-1.282367,0,5.590384,0,18.24751,3251.917964,0.093099,244,225,25.503092,2.263997,55.890089,31.398438,0,Pornografico
0.321978,0.539111,36.600136,92.562252,138.627985,0.445559,0.392174,0.452672,1.16115,0,1.806342,0,47.54772,1630.205194,0.097616,124,328,6.720052,5.761393,42.515952,20.690104,0,Pornografico
0.399058,0.441092,24.875754,76.967779,139.512931,0.477653,0.491224,0.450005,1.117284,0,3.462039,0,34.669892,3478.202236,0.049814,233,277,15.61084,4.311686,44.684194,28.563802,0,Pornografico
0.648893,0.751933,25.904118,102.19249,182.852277,0.64845,0.78326,0.324371,-0.436627,0,1.519517,1,30.172143,1376.173665,0.172542,475,250,8.464681,6.836426,64.059703,26.475586,0,Pornografico
0.42427,0.369334,43.877123,73.092018,135.578861,0.409524,1.002357,0.443074,1.445198,0,1.500074,0,59.03429,1655.158513,0.125843,76,321,8.930501,2.664388,33.184118,18.730469,0,Pornografico
0.500615,0.570368,20.481424,91.353914,157.75114,0.468717,0.336751,0.23632,-0.436627,0,0.526464,0,3.396213,1093.244733,0.096142,339,331,2.976563,0.830078,38.338853,7.172852,0,Pornografico
0.38175,0.361227,24.542112,94.412055,142.909908,0.526261,0.628087,0.374095,0.929618,0,1.694987,0,35.48778,2119.567676,0.060304,184,220,7.017904,2.596517,36.029082,20.05599,0,Pornografico
0.349604,0.597981,27.322661,87.119887,136.632398,0.364269,0.535142,0.372088,-1.545029,0,2.086165,0,37.052978,2137.432683,0.092935,313,246,10.998535,2.68457,44.206023,25.835286,0,Pornografico
0.674295,0.765012,15.644852,104.679689,184.830322,0.56889,0.703037,0.28919,-0.208759,0,6.79139,1,19.51474,4632.095813,0.09621,335,285,53.473958,3.026855,67.758646,48.769206,0,Pornografico
0.451339,0.536862,13.817935,90.704422,151.633385,0.558186,0.993979,0.429684,-0.38869,0,2.44945,0,19.541293,2822.812409,0.060147,416,350,12.415039,3.013672,61.933647,28.174479,0,Pornografico
0.250713,0.396608,28.677751,77.384817,163.58638,0.335368,0.636889,0.395828,1.306308,0,0.522055,0,38.727989,1110.808225,0.081749,165,385,2.612956,2.284831,34.479345,20.457357,0,Pornografico
