@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Remove-R3-10,12-13,16-17,22-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement-V'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute 'Amount of Skin' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.634592,0.594641,44.69896,1531.570635,0.224538,13.643717,6.534668,71.833006,33.580404,NoPornografico
0.61799,0.56999,33.419187,2575.124025,0.096882,16.64209,16.505859,63.758874,37.635091,Pornografico
0.59972,0.635743,1.769609,4963.385135,0.093635,59.753581,20.590495,79.229976,79.242839,Pornografico
0.502091,0.487528,38.660233,548.43355,0.159493,1.242676,1.212402,23.448943,3.44043,NoPornografico
0.615364,0.392912,48.748561,473.404112,0.430156,2.497233,2.158203,32.235319,5.371419,NoPornografico
0.372563,0.516845,59.315492,1306.045815,0.112904,4.98877,2.976237,36.330091,10.119792,NoPornografico
0.451814,0.673359,8.105155,1804.964646,0.13197,11.13737,1.972656,52.586695,17.523112,Pornografico
0.435659,0.415923,0.611101,3768.684558,0.077954,28.680664,5.184408,46.557591,37.751953,Pornografico
0.510864,0.378398,47.859397,1067.050865,0.179297,5.288249,3.032552,44.646892,12.066732,NoPornografico
0.427386,0.416271,7.861611,4355.264428,0.044771,21.998535,6.653483,44.488791,30.494141,Pornografico
0.435306,0.676762,0.20684,3318.057141,0.054926,15.664388,2.428711,45.504435,22.999349,Pornografico
0.401717,0.723679,45.599699,2473.325035,0.10825,17.153809,12.525391,47.333921,37.247396,NoPornografico
0.322205,0.445362,48.500735,2817.543289,0.05767,11.859375,7.156738,36.267197,32.785156,NoPornografico
0.431937,0.402908,5.72526,2813.187084,0.079719,16.342936,11.679362,61.736102,37.847656,Pornografico
0.387464,0.703544,45.327283,2574.888527,0.035188,6.043457,4.032552,23.082228,14.347331,NoPornografico
0.642676,0.524329,38.060108,1757.668181,0.120382,9.633952,6.783529,46.395341,23.297852,NoPornografico
0.384636,0.276402,0.162264,2361.089537,0.061177,8.834473,4.685221,36.695382,19.123698,Pornografico
0.399058,0.441092,3.462039,3478.202236,0.049814,15.61084,4.311686,44.684194,28.563802,Pornografico
0.603641,0.529449,53.427922,845.813275,0.331145,6.136719,3.086751,51.509475,11.88444,NoPornografico
0.601561,0.52849,71.879585,1128.825469,0.142459,4.702311,1.269368,65.986111,6.877279,NoPornografico
0.500615,0.570368,0.526464,1093.244733,0.096142,2.976563,0.830078,38.338853,7.172852,Pornografico
0.438531,0.579109,58.215572,379.923882,0.152572,0.570475,0.375163,46.875513,1.174805,NoPornografico
0.39376,0.356554,47.386212,1531.158513,0.105649,6.416178,1.330404,39.301566,14.926107,NoPornografico
0.573786,0.468846,93.11408,1437.803174,0.168496,9.023112,1.243164,59.461006,7.918294,NoPornografico
