@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Remove-R3-10,12-13,16-17,22-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute 'Amount of Skin' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.627988,0.366595,29.571277,747.102597,0.232478,3.361328,1.689616,29.003948,11.632161,NoPornografico
0.41138,0.349152,25.233513,486.492424,0.154163,0.94515,0.777832,34.11327,4.60026,NoPornografico
0.274696,0.274553,54.759894,961.955411,0.091882,2.202474,1.733561,26.675627,5.782227,NoPornografico
0.541191,0.284043,0.593755,3325.814501,0.08743,25.050944,14.291829,58.530299,50.945964,Pornografico
0.475729,0.508691,36.71325,1070.825469,0.146681,4.356934,3.930013,37.673893,12.298828,NoPornografico
0.676559,0.559372,8.146837,5350.6816,0.088996,66.002116,3.387207,66.560506,59.380859,Pornografico
0.645154,0.328484,61.798425,1922.371716,0.16065,15.378906,3.506022,51.315958,20.131185,NoPornografico
0.666866,0.310356,23.922496,5391.97388,0.088225,66.443685,4.822917,68.046491,64.552409,Pornografico
0.628624,0.445518,39.134522,1076.156421,0.151346,4.540365,3.844238,56.239616,12.11849,NoPornografico
0.648893,0.751933,1.519517,1376.173665,0.172542,8.464681,6.836426,64.059703,26.475586,Pornografico
0.492095,0.521022,44.456518,1955.394011,0.108678,10.76416,3.719401,49.173254,27.560872,NoPornografico
0.574863,0.417893,46.1626,1104.198052,0.173929,5.493327,2.103353,37.586118,12.30013,NoPornografico
0.339723,0.438293,0.204358,1188.648845,0.094184,3.447103,2.757487,38.239159,12.958659,Pornografico
0.292591,0.497606,52.027596,1510.153462,0.099153,5.857585,2.944336,27.943461,11.984701,NoPornografico
0.504476,0.658303,1.84982,6834.896895,0.041536,50.263835,5.022135,55.999402,55.97526,Pornografico
0.690075,0.496214,36.397636,832.842712,0.416652,7.486328,4.693359,40.993921,15.144857,NoPornografico
0.635178,0.767958,95.289712,2771.238816,0.097657,19.427734,0.638509,68.722796,19.820313,NoPornografico
0.314837,0.360822,26.434579,457.03658,0.129314,0.699707,0.457845,27.484057,3.057617,NoPornografico
0.490925,0.643029,66.403853,1722.34733,0.206363,15.857747,3.803385,63.859232,30.552083,NoPornografico
0.322424,0.746779,59.957907,4179.190042,0.04121,18.644531,16.645182,51.132713,45.317708,NoPornografico
0.546131,0.409851,100,5089.713996,0.06873,46.121419,2.354167,58.068958,44.896484,NoPornografico
0.568447,0.427884,38.557432,1595.276262,0.131606,8.675944,5.116374,34.480363,23.057292,NoPornografico
0.503841,0.4715,31.536848,404.066017,0.169289,0.715983,0.414551,50.228954,2.482422,NoPornografico
0.483227,0.482769,49.945079,1368.579869,0.088806,4.308757,1.504883,41.958042,9.779622,NoPornografico
0.419327,0.797944,45.345705,511.563492,0.202015,1.369466,0.543132,30.589506,3.262695,NoPornografico
0.774434,0.294049,1.600514,3373.349422,0.243084,71.655111,3.234375,76.412994,67.238607,Pornografico
0.564634,0.57811,3.451697,3534.660172,0.109403,35.407227,4.19694,49.317462,45.645182,Pornografico
0.536637,0.390693,0.390205,2070.562625,0.086538,9.610677,8.23584,55.088789,25.610352,Pornografico
0.654032,0.639056,26.041622,492.977705,0.304791,1.918783,1.44401,37.222033,7.648763,NoPornografico
0.434465,0.562468,65.188035,2349.391052,0.068327,9.769531,6.130371,53.927603,17.597331,NoPornografico
0.928537,0.667746,20.300011,436.183766,0.755642,3.724121,3.553874,35.063108,18.488932,NoPornografico
0.463997,0.59357,5.621115,2750.805266,0.119275,23.37972,4.018229,55.083328,35.143555,Pornografico
0.460964,0.417862,0.434623,1391.903679,0.111748,5.608236,5.204753,58.663698,19.906576,Pornografico
0.697856,0.572379,100,8645.881743,0.035908,69.531413,0.865723,66.291992,66.584635,NoPornografico
0.864321,0.509759,64.549481,2108.960461,0.355596,40.969727,12.125488,63.058735,62.243815,NoPornografico
0.49316,0.399003,0.678245,3803.596247,0.110184,41.292969,4.856608,54.694546,49.398438,Pornografico
0.278343,0.598984,70.233014,1242.021428,0.080333,3.210124,0.573242,23.616796,5.64388,NoPornografico
0.546128,0.583475,2.353832,4429.51717,0.0939,47.724935,5.064128,55.929576,48.963867,Pornografico
0.463943,0.551887,2.486619,3529.304833,0.084065,27.124512,3.015625,57.962875,37.749674,Pornografico
0.420816,0.642191,0.331021,1839.702669,0.115663,10.140462,4.546875,59.816999,15.086263,Pornografico
0.717808,0.448726,1.060254,3043.800215,0.157433,37.78304,5.045736,69.6346,51.444661,Pornografico
0.308027,0.508571,20.410733,2803.373808,0.04614,9.393066,6.057129,44.790031,36.926107,Pornografico
0.33684,0.60394,0.235646,1316.974747,0.088675,3.984049,2.842448,53.323326,16.116862,Pornografico
0.433038,0.402834,42.990654,1805.761543,0.048568,4.102376,1.631999,46.684918,11.424479,NoPornografico
0.623891,0.233548,0.24456,1446.70772,0.216277,11.725749,10.672852,42.979256,37.562174,Pornografico
0.638869,0.442828,98.139955,3803.589104,0.099559,37.311035,1.979167,70.869268,33.916341,NoPornografico
0.635264,0.524921,47.49057,609.002092,0.284933,2.737467,2.420247,64.452534,6.213542,NoPornografico
0.378973,0.423411,0.175957,2536.920056,0.052861,8.812826,4.719076,44.629262,21.797526,Pornografico
0.472258,0.65556,35.230532,735.87215,0.180661,2.53418,2.018392,67.9853,9.305339,NoPornografico
0.32244,0.462571,37.06901,716.735065,0.159052,2.116536,1.097493,37.315182,6.297201,NoPornografico
0.566269,0.334099,44.15566,1914.330086,0.115047,10.921387,2.188965,51.1123,25.287109,NoPornografico
0.619114,0.612821,45.404412,101.941125,0.540528,0.145508,0.077799,29.533404,0.354167,NoPornografico
0.479786,0.665162,0.713505,5895.364933,0.04717,42.467773,2.420247,53.956109,46.667643,Pornografico
0.495322,0.301628,0.451977,934.281313,0.151961,3.436035,2.49235,44.234177,11.293294,Pornografico
0.537494,0.584156,97.572074,3446.780879,0.070116,21.577962,0.552572,34.162533,21.317708,NoPornografico
0.356467,0.720745,100,3728.719046,0.04998,18.000326,0.529297,53.432205,18.08431,NoPornografico
0.417336,0.781546,0.917002,4925.080661,0.055262,34.723633,1.043294,54.586661,36.474935,Pornografico
0.499652,0.314677,25.007023,809.612265,0.146719,2.491211,2.481771,20.210402,10.429362,NoPornografico
0.438419,0.614957,1.284954,4852.713129,0.058446,35.652669,2.930827,48.939957,43.796875,Pornografico
0.752241,0.528911,0.910972,6209.426766,0.071125,71.038249,1.82194,73.620527,70.097331,Pornografico
0.411527,0.528641,0.285928,1978.011327,0.143641,14.558105,6.885091,52.260123,26.307617,Pornografico
0.551173,0.372999,0.374228,2529.866233,0.115571,19.160807,10.695801,54.527053,51.565755,Pornografico
0.885226,0.65309,14.901968,1339.580736,0.32069,14.907064,2.977539,33.208052,23.40332,Pornografico
0.519013,0.670673,70.692794,4086.993216,0.06499,28.120443,9.830892,62.137921,42.560547,NoPornografico
0.392105,0.477367,26.398747,1904.011327,0.074358,6.98291,5.364909,38.265764,30.131836,NoPornografico
0.357462,0.473963,0.441617,3316.76782,0.043318,12.344401,2.947428,42.539637,27.963542,Pornografico
0.422352,0.597984,0.586099,2055.758585,0.135924,14.880208,2.76416,47.381232,14.762695,Pornografico
0.330994,0.44382,74.865402,2651.391052,0.049333,8.983724,5.60791,55.274882,19.166341,NoPornografico
0.609065,0.425437,12.712167,502.291414,0.194326,1.27002,1.209961,29.148565,9.128906,NoPornografico
0.496218,0.357261,10.58997,371.279221,0.329091,1.17513,1.041016,29.718234,13.027018,NoPornografico
0.641696,0.357821,41.84936,325.965512,0.438655,1.207357,0.641602,48.427388,2.999349,NoPornografico
0.509148,0.445078,13.957246,361.923882,0.251972,0.85498,0.831055,30.66936,7.050456,NoPornografico
0.360711,0.906212,47.289069,1848.330086,0.112272,9.93571,8.105469,38.311016,26.729167,NoPornografico
0.51033,0.724048,91.046715,884.558441,0.23922,4.848633,0.13623,34.988379,5.762695,NoPornografico
0.804699,0.760935,0.134248,1064.374675,0.336579,9.877441,6.942546,71.281262,37.462565,Pornografico
0.417853,0.408442,32.904331,495.563492,0.189378,1.204753,0.860189,39.324224,5.893229,NoPornografico
0.518643,0.599793,99.671552,2611.959595,0.09363,16.546875,0.250326,69.842278,16.947591,NoPornografico
0.730383,0.550559,0.891982,2945.903679,0.185848,15.510091,14.458008,72.556356,72.12793,Pornografico
0.743151,0.465638,99.248346,2359.38391,0.273215,39.397624,2.05485,70.823645,32.480469,NoPornografico
0.785331,0.699213,1.504142,4757.000359,0.127426,74.69515,1.686686,77.961174,74.145508,Pornografico
0.343417,0.483396,0.075994,1625.685425,0.068755,4.707031,2.502116,45.30982,15.42806,Pornografico
0.576348,0.432216,49.887738,1669.300649,0.10675,7.705566,6.452962,50.643352,15.80306,NoPornografico
0.264437,0.501626,95.545747,2387.935208,0.067076,9.907878,7.129232,53.697098,18.511393,NoPornografico
0.359407,0.499882,0.94069,3682.826694,0.038735,13.609375,6.200684,47.177387,26.544596,Pornografico
0.469781,0.312764,0.496781,2898.545381,0.081045,17.638184,10.053548,38.200673,29.025065,Pornografico
0.438451,0.339745,0.37478,5678.893937,0.029922,24.996745,0.384603,58.743805,25.717122,Pornografico
0.444482,0.737334,0.63509,5612.744658,0.042063,34.325358,5.239583,62.4682,40.598633,Pornografico
0.630215,0.462701,99.34227,2337.4987,0.223858,31.684245,0.625326,78.181322,31.130208,NoPornografico
0.453903,0.693908,0.681539,2340.344371,0.08975,12.733887,9.691895,56.218997,28.691081,Pornografico
0.559844,0.4793,0.162125,1420.364574,0.148892,7.781087,5.502279,60.019478,35.326823,Pornografico
0.704386,0.496461,14.625969,4004.025612,0.156643,65.053874,2.305827,74.438879,67.650716,Pornografico
0.519133,0.61244,0.051858,1147.085353,0.113415,3.865723,0.834635,43.327755,8.309896,Pornografico
0.539803,0.372047,0.18598,919.997041,0.265159,5.813639,4.320964,46.619972,16.857422,Pornografico
0.462054,0.782701,1.01055,2962.025612,0.063365,14.401204,6.314941,61.334614,55.974609,Pornografico
0.722104,0.597227,36.447143,275.095454,0.376024,0.737142,0.626465,46.61187,2.09082,NoPornografico
0.786391,0.514167,0.583598,1403.251875,0.351688,17.938965,14.604167,60.411392,35.953125,Pornografico
0.440033,0.384555,24.596064,1151.896536,0.107853,3.707031,2.341471,55.976433,16.459961,NoPornografico
0.698596,0.350973,0.826781,5489.066376,0.086686,67.657552,5.763997,69.880454,63.179362,Pornografico
0.796253,0.447789,1.139971,6034.96883,0.084091,79.335286,6.381836,64.497899,66.001302,Pornografico
0.52104,0.387875,24.464675,785.487373,0.367353,5.871257,4.927897,47.16,25.38737,NoPornografico
0.39615,0.530148,16.752233,3495.606348,0.033804,10.69987,3.877116,40.959392,26.025391,Pornografico
0.355579,0.640801,1.895516,3721.336362,0.060036,21.536784,5.424479,45.971227,42.550781,Pornografico
0.488293,0.496562,5.546345,224.710678,0.249113,0.325846,0.309082,9.543783,6.479492,NoPornografico
0.727779,0.528579,99.335645,1342.371716,0.570882,26.647786,10.843262,54.89263,15.58138,NoPornografico
0.429713,0.366098,1.528814,3819.963779,0.075921,28.697917,7.959635,55.245754,36.225911,Pornografico
0.471008,0.506046,95.323689,4779.966738,0.069737,41.274251,1.116374,49.177128,47.502279,NoPornografico
0.44751,0.313465,52.522448,1528.430591,0.110882,6.709961,3.344238,27.606532,14.537435,NoPornografico
0.662264,0.413098,29.408363,760.07316,0.298503,4.467122,4.146159,47.773065,15.763346,NoPornografico
0.307104,0.498553,0.3479,3040.042856,0.054819,13.123698,1.269043,39.865756,18.895508,Pornografico
0.559211,0.642522,17.732672,617.338095,0.154151,1.52181,0.683919,28.351171,9.125326,NoPornografico
0.72848,0.528387,52.061565,1356.70772,0.299284,14.27002,7.377116,47.862586,25.421875,NoPornografico
0.53516,0.615676,22.701578,1118.766594,0.099441,3.224121,3.058105,36.621487,14.856771,NoPornografico
0.506423,0.363618,34.91684,671.830519,0.234939,2.746908,1.727865,42.932244,9.531576,NoPornografico
0.623107,0.68112,30.447234,410.936075,0.352951,1.543945,1.161458,25.119449,5.342448,NoPornografico
0.460324,0.458858,0.112055,865.286363,0.167242,3.243652,2.942546,42.052722,9.44401,Pornografico
0.489873,0.52961,99.749033,3423.530229,0.063295,19.21696,0.283203,60.528031,20.363932,NoPornografico
0.594862,0.606474,70.01592,2530.170706,0.134356,22.280599,9.742676,60.579677,34.555013,NoPornografico
0.644051,0.633616,20.432827,677.060966,0.179239,2.128418,1.825358,30.634224,11.582031,NoPornografico
0.387419,0.501967,0.800372,5746.117241,0.029344,25.097493,2.158854,50.039422,29.295898,Pornografico
0.537367,0.684202,23.988752,534.031529,0.331686,2.450358,1.873535,34.327274,10.53418,NoPornografico
0.314007,0.444108,100,4078.750576,0.072599,31.286296,0.644857,41.733545,31.116536,NoPornografico
0.626071,0.572558,71.098437,595.244733,0.362681,3.328776,0.449056,33.377625,4.394857,NoPornografico
0.716591,0.46272,0.441209,1169.137085,0.280851,9.944336,2.861816,27.663302,17.574219,Pornografico
0.39027,0.397021,0.135425,2911.124025,0.046647,10.240397,5.811198,39.78813,28.343424,Pornografico
0.39031,0.370731,1.095944,4161.231673,0.086699,38.888835,3.652669,47.830582,48.896484,Pornografico
0.364641,0.635725,0.645816,4688.789248,0.041171,23.446452,14.124186,63.253875,51.876302,Pornografico
0.437619,0.468948,0.261735,3448.341413,0.063444,19.542643,5.313151,51.707532,31.724284,Pornografico
0.18858,0.576848,1.085706,5068.591196,0.022262,14.81543,9.308431,45.282271,26.250977,Pornografico
0.470272,0.506134,0.674339,1539.116882,0.129495,7.946289,6.234212,49.371826,22.711263,Pornografico
0.533263,0.500414,47.592654,488.818326,0.366089,2.265951,1.74349,19.472159,4.874674,NoPornografico
0.432815,0.787736,56.005243,1423.494516,0.157605,8.272786,3.968424,30.927169,16.142578,NoPornografico
0.595847,0.589124,15.033926,3451.221572,0.192413,59.367676,8.36263,65.691605,51.468099,Pornografico
0.600803,0.600836,0.142516,854.801082,0.23545,4.456543,2.535319,44.707438,14.942383,Pornografico
0.503401,0.682672,0.04965,222.083261,0.26396,0.33724,0.064616,8.923486,0.684896,Pornografico
0.545059,0.412634,27.071326,1082.825469,0.098445,2.990072,1.399089,35.839807,11.578451,NoPornografico
0.453353,0.57489,0.670949,2720.427632,0.07068,13.549967,2.803711,56.71159,23.777669,Pornografico
0.72108,0.671683,7.019261,5064.542423,0.108131,71.845378,8.586263,81.993436,80.732096,Pornografico
0.459009,0.656702,26.04718,417.279221,0.272442,1.228841,0.627604,19.946605,4.981445,NoPornografico
0.573354,0.325539,25.823824,887.470129,0.22709,4.633138,4.413249,47.435108,20.309896,NoPornografico
0.434763,0.688408,0.146702,825.185858,0.134479,5.017253,3.758301,49.490392,34.077474,Pornografico
0.544202,0.705547,41.060497,1420.680374,0.277112,14.488281,10.215332,61.261995,35.416016,NoPornografico
0.268112,0.485186,27.965404,1181.477272,0.086788,3.138184,2.871908,43.771444,16.597656,NoPornografico
0.632692,0.482057,0.540292,4453.125251,0.074913,38.481771,20.616374,70.883595,61.424479,Pornografico
0.624752,0.422946,0.635292,2004.496608,0.179468,18.679525,16.685547,60.932775,49.67806,Pornografico
0.587506,0.39316,1.443446,4110.292639,0.091577,40.077474,5.732747,59.627497,52.079427,Pornografico
0.652363,0.803711,99.127508,822.47518,0.308129,5.399414,0.133952,84.619826,5.223307,NoPornografico
0.531903,0.341795,1.671008,6484.865366,0.042657,46.46875,2.287598,58.583027,44.573893,Pornografico
0.496116,0.535115,0.108982,1099.369624,0.232167,7.268717,4.159342,46.780825,15.109375,Pornografico
0.5674,0.953966,2.418561,4321.775829,0.085037,41.143717,16.213379,56.919788,56.966797,Pornografico
0.575468,0.533737,0.714595,2797.373808,0.175114,35.496908,9.635417,62.213044,44.207682,Pornografico
0.405674,0.58814,0.806376,4273.166881,0.054758,25.900879,3.979492,55.401012,35.658529,Pornografico
0.395509,0.398034,80.058731,2774.611399,0.074582,14.873372,1.582031,34.119121,20.174805,NoPornografico
0.425178,0.44694,0.722389,1837.376767,0.164858,14.416992,11.805827,56.058947,46.91276,Pornografico
0.245735,0.473413,1.145134,1429.359523,0.08166,4.321777,2.538411,42.997521,10.85026,Pornografico
0.455162,0.573779,3.419641,3370.507935,0.079227,23.314779,2.911296,49.072774,29.444661,Pornografico
0.451653,0.670582,32.224528,1212.825469,0.138684,5.284342,3.539714,46.107,16.626302,NoPornografico
0.621463,0.446937,45.473081,1742.756493,0.235466,18.525553,12.107422,46.462626,34.645182,NoPornografico
0.515744,0.42825,1.66353,2520.795165,0.122659,20.190267,2.715169,47.89583,25.823893,Pornografico
0.250713,0.396608,0.522055,1110.808225,0.081749,2.612956,2.284831,34.479345,20.457357,Pornografico
0.378976,0.438266,18.5039,820.8772,0.070567,1.231771,1.150716,43.671927,10.474284,NoPornografico
0.379686,0.694011,73.032524,2092.177849,0.130316,14.776204,12.318685,59.696754,38.632813,NoPornografico
0.618736,0.551073,0.746026,2801.13831,0.202344,41.127116,2.806803,66.536169,36.481445,Pornografico
0.640582,0.609195,32.853255,576.575685,0.330924,2.849772,1.224935,23.266455,8.611328,NoPornografico
0.408279,0.613801,43.299592,1284.163564,0.107091,4.574707,1.161621,27.125062,11.319661,NoPornografico
0.414247,0.655651,21.94864,4864.806491,0.067325,41.273763,1.775065,53.336611,44.409505,Pornografico
0.407733,0.366902,0.210048,2548.025612,0.068033,11.441895,5.492188,52.829648,24.00651,Pornografico
0.707188,0.566872,18.219828,294.852814,0.402699,0.906901,0.487956,12.267085,4.593424,NoPornografico
0.62626,0.512455,34.737314,1056.447835,0.219203,6.337402,3.607585,50.515773,19.622721,NoPornografico
0.494314,0.571782,99.364151,2896.074385,0.152908,33.221517,4.293945,59.441746,28.054688,NoPornografico
0.553562,0.675606,0.321024,1574.724963,0.068083,4.373372,2.420247,30.57113,22.068034,Pornografico
0.319799,0.443167,11.618342,778.132034,0.091359,1.432943,1.346191,30.741678,15.908529,NoPornografico
0.644535,0.846692,47.657739,323.865007,0.569742,1.548014,0.295736,7.201656,3.245117,NoPornografico
0.345381,0.445886,2.909032,4444.740474,0.03316,16.969889,4.784831,38.675494,23.567708,Pornografico
0.463405,0.697521,33.531923,3219.713996,0.09521,25.567383,6.145996,60.980283,32.517578,Pornografico
0.543996,0.641562,92.017086,4179.367891,0.063775,28.856283,2.87679,62.100095,32.768555,NoPornografico
0.554387,0.511955,3.23568,4240.088671,0.089471,41.667806,2.449382,66.900531,48.72526,Pornografico
0.501647,0.643083,1.116393,4208.871283,0.100053,45.912435,13.893066,70.511782,68.029948,Pornografico
0.316599,0.484556,67.63741,1047.529004,0.104338,2.96582,0.957682,34.055801,4.862305,NoPornografico
0.475788,0.63158,55.87963,347.622366,0.217653,0.681315,0.367513,8.206404,1.40625,NoPornografico
0.65028,0.528498,4.241165,6537.985207,0.058514,64.791178,2.469076,70.272679,68.342448,Pornografico
0.47645,0.509065,23.07469,643.269119,0.227582,2.439453,2.307454,32.571174,11.213867,NoPornografico
0.637447,0.50606,0.671878,5681.066376,0.068478,57.250651,8.882324,58.8332,47.27181,Pornografico
0.427392,0.350618,44.248356,2048.118974,0.050084,5.44222,2.286621,48.564154,14.202799,NoPornografico
0.213865,0.378743,0.149515,2747.432683,0.039426,7.709147,2.717448,34.248523,17.84375,Pornografico
0.630261,0.355669,17.629823,340.551299,0.33801,1.015462,0.586426,10.368488,5.999023,NoPornografico
0.607277,0.501135,1.017893,5821.382177,0.065306,57.328939,5.506673,56.5498,52.070313,Pornografico
0.809097,0.353977,0.466062,596.693434,0.667084,6.152507,3.760905,46.972415,23.153971,Pornografico
0.427448,0.375495,37.65514,1224.156421,0.175436,6.810221,4.53418,31.385442,19.146484,NoPornografico
0.685586,0.54315,30.19847,315.23759,0.406361,1.046061,0.456868,19.196601,3.575521,NoPornografico
0.519301,0.621485,48.36127,1792.790981,0.150954,12.568197,6.747721,39.273328,27.362956,NoPornografico
0.441632,0.619969,1.500098,4791.350647,0.03535,21.02181,4.6486,55.053295,32.719076,Pornografico
0.642395,0.537678,0.332625,1503.460028,0.156313,9.152669,7.455729,49.433787,39.697266,Pornografico
0.810225,0.469646,42.692232,398.024387,0.504326,2.069661,1.363444,41.209426,4.991211,NoPornografico
0.734863,0.363851,30.049035,588.592929,0.445973,4.002279,3.859863,38.520751,13.476237,NoPornografico
0.392797,0.609846,27.997804,494.575685,0.166683,1.056152,0.809082,52.353242,4.150716,NoPornografico
0.530976,0.634895,0.330237,1351.920923,0.122048,5.77832,5.347005,31.429484,24.496745,Pornografico
0.385255,0.522506,0.377932,1525.869191,0.142626,8.602051,5.406901,67.220707,33.852214,Pornografico
0.627309,0.682364,44.043233,367.23759,0.318344,1.112142,0.455566,14.941995,2.650391,NoPornografico
0.658938,0.662201,100,1007.979797,0.358084,9.424479,0.33252,77.506758,8.603516,NoPornografico
0.381091,0.711754,27.630583,1534.974747,0.085356,5.209635,3.725586,50.443119,20.210612,NoPornografico
0.513913,0.630781,27.921812,841.889394,0.14408,2.645345,2.119141,19.666725,9.542318,NoPornografico
0.394375,0.589244,0.172051,2277.616449,0.048162,6.472005,6,60.608546,23.578125,Pornografico
0.393146,0.459908,0.791621,4866.456203,0.049988,30.666504,6.027181,55.288913,38.271484,Pornografico
0.69092,0.448113,79.271912,1642.531096,0.166967,11.668783,2.803385,72.109631,13.931315,NoPornografico
0.37058,0.383873,25.610226,1418.222438,0.095606,4.981283,4.640462,37.803864,21.977865,NoPornografico
0.78125,0.721154,0.003738,44.242641,0.561741,0.028483,0.024414,4.202719,0.227865,Pornografico
0.376944,0.987013,0.100285,744.735065,0.13728,5.583822,4.584473,54.930623,45.888997,Pornografico
0.582022,0.307732,31.92844,1590.489465,0.158204,10.366862,5.240723,46.65212,32.006185,NoPornografico
0.649291,0.625202,3.500887,4706.542423,0.085217,48.899089,6.856608,64.694181,59.291667,Pornografico
0.589106,0.450103,1.393458,4742.130301,0.100761,58.695964,1.966797,62.773637,55.730794,Pornografico
0.306009,0.616169,0.17461,2108.243866,0.056565,6.512695,6.388997,40.689557,29.263672,Pornografico
0.523277,0.396812,1.158515,2525.734198,0.078861,13.031901,10.678874,57.599456,38.685872,Pornografico
0.529371,0.627473,35.970095,1914.170706,0.139888,13.277344,7.402181,54.405148,35.094076,NoPornografico
0.437971,0.520904,10.89605,5909.96082,0.048231,43.637533,6.572103,50.997152,41.922526,Pornografico
0.499255,0.598679,1.824863,2603.599205,0.087291,15.327962,9.803874,59.541549,33.141927,Pornografico
0.326362,0.732349,68.184612,1594.999133,0.090285,5.94987,3.66748,47.059328,13.238607,NoPornografico
0.341862,0.626204,0.196283,1861.609307,0.077124,6.923665,4.81901,33.442545,24.045573,Pornografico
0.491079,0.571097,44.693176,670.07316,0.191183,2.223633,1.206543,28.440617,5.394857,NoPornografico
0.474809,0.652385,0.349799,1705.609307,0.224776,16.938639,11.021322,69.233129,27.888021,Pornografico
0.284092,0.403256,0.338499,3052.344371,0.053005,12.79248,3.755046,31.4298,24.064128,Pornografico
0.413931,0.504023,5.335541,4325.593288,0.032214,15.613444,0.460612,52.997201,17.342773,Pornografico
0.500927,0.426004,0.458431,2807.273303,0.066924,13.662109,3.79541,45.155733,19.41862,Pornografico
0.441248,0.4519,65.057255,3302.98189,0.099085,28.002116,18.602051,58.93873,59.639974,NoPornografico
0.548461,0.696614,61.934449,1459.837662,0.190796,10.532878,3.336751,46.885629,18.066081,NoPornografico
0.439315,0.681836,87.889273,2927.304833,0.094054,20.877767,2.708008,63.888566,23.895182,NoPornografico
0.519656,0.713318,15.354425,788.132034,0.129699,2.086914,1.3514,52.579268,13.602214,NoPornografico
0.67388,0.680402,4.747111,8297.667673,0.037646,67.142578,5.176107,75.28264,72.625326,Pornografico
0.406421,0.452957,0.793726,5052.705986,0.052386,34.644368,16.279948,63.348834,51.558919,Pornografico
0.47602,0.285895,52.229552,1519.820418,0.08911,5.331868,2.861654,44.303123,12.286133,NoPornografico
0.386996,0.216334,2.191753,3140.459162,0.08296,21.194661,3.543945,55.31749,28.575195,Pornografico
0.450002,0.793085,45.724449,1388.565584,0.160169,7.999837,2.322591,29.463309,18.211589,NoPornografico
0.382827,0.65389,53.540481,1563.009235,0.125751,7.958008,1.734375,27.092938,13.786784,NoPornografico
