@relation 'CaracteristicasTEST-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {NoPornografico,Pornografico}

@data
0.218052,0.026582,0.321795,0,0.135473,0.03594,0.088569,0.793408,0.809585,0,0.522383,0,0.402316,0.199346,0.171571,0.425182,0.453165,0.091031,0.044507,0.311542,0.122118,0,NoPornografico
0.490844,0.709492,0.029882,0.528806,0.426353,0.549086,0.065778,0.234682,0.365566,0,0.99983,0,0.036776,0.87031,0.04922,0.465328,0.582278,0.665627,0.019671,0.728212,0.695136,0,Pornografico
0.035676,0.641403,0.427069,0.369213,0.651133,0.127501,0.046101,0.270518,0.858815,0,0.340627,0,0.800798,0.206017,0.091499,0.428832,0.675949,0.058615,0.071802,0.331111,0.140754,0,NoPornografico
0.462182,0.617824,0.159904,0.457789,0.203062,0.288991,0.329737,0.620139,0.891221,0,0.934079,0,0.267238,0.143079,0.392318,0.381387,0.521519,0.104911,0.0061,0.406411,0.076023,0,NoPornografico
0.425682,0.247854,0.105779,0.529565,0.007147,0.4687,0.151624,0.313304,0.692558,0,0.234959,1,0.40468,0.110292,0.27571,0.959854,0.468354,0.046566,0.068287,0.271939,0.126389,0,NoPornografico
0.251707,0.651128,0.315719,0.134551,0.607839,0,0.770887,0.839601,0.732923,0,0.592744,0,0.54499,0.22623,0.123444,0.421533,0.617722,0.088496,0.074096,0.453513,0.143724,0,NoPornografico
0.30691,0.322829,0.004157,0.162709,0.260333,0.368348,0.308222,0.524674,0.948548,0,0.138056,1,0.112242,0.191063,0.092872,0.94708,0.139241,0.051037,0.115126,0.30537,0.214312,0,NoPornografico
0.250546,0.61639,0.792569,0.609424,0.076797,0.27272,0.178629,0.545576,0.597597,0,0.383266,0,0.923678,0.241713,0.056107,0.395985,0.825316,0.057794,0.109367,0.281232,0.133184,0,NoPornografico
0.714458,0.314838,0.068063,0.253912,0.729554,0.740262,0.0189,0.139729,0.355951,0,0.247248,0,0.258276,0.030232,0.624721,0.487226,0,0.012746,0.011167,0.11179,0.017841,0,NoPornografico
0.231545,0.121871,0.10387,0.348466,0.46809,0.30544,0.058495,0.569849,0.557912,0,0.217918,0,0.513126,0.127845,0.075686,0.689781,0.101266,0.018568,0.02417,0.340216,0.04686,0,NoPornografico
0.117017,0.154764,0.620195,0.517591,0.303265,0.302734,0.035342,0.052627,0.333882,0,0.272763,0,0.96934,0.397035,0.024234,0.702555,0.703797,0.104179,0.293176,0.429318,0.400625,0,NoPornografico
