@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.627988,0.366595,84.349402,83.410646,159.208792,0.631998,1.290278,0.61194,1.099181,0,29.571277,1,81.604319,747.102597,0.232478,595,374,3.361328,1.689616,29.003948,11.632161,0,NoPornografico
0.41138,0.349152,27.783728,62.049443,124.928919,0.385805,0.862703,0.587021,0.578524,0,25.233513,0,47.519047,486.492424,0.154163,222,367,0.94515,0.777832,34.11327,4.60026,0,NoPornografico
0.274696,0.274553,30.381634,124.808614,148.082912,0.27027,0.948687,0.760373,0.368131,0,54.759894,0,22.525823,961.955411,0.091882,261,210,2.202474,1.733561,26.675627,5.782227,0,NoPornografico
0.541191,0.284043,11.743155,126.150305,158.063056,0.598209,0.907483,0.591878,0.523776,102146,0.593755,1,15.716141,3325.814501,0.08743,203,290,25.050944,14.291829,58.530299,50.945964,0,Pornografico
0.475729,0.508691,22.910425,131.540265,77.941202,0.382543,1.498829,0.475916,0.665969,0,36.71325,0,13.391441,1070.825469,0.146681,381,95,4.356934,3.930013,37.673893,12.298828,0,NoPornografico
0.676559,0.559372,16.979744,130.76127,166.612005,0.579059,0.66631,0.277384,-0.601683,0,8.146837,1,28.859288,5350.6816,0.088996,330,273,66.002116,3.387207,66.560506,59.380859,0,Pornografico
0.645154,0.328484,20.32128,86.880519,216.637013,0.517018,0.523166,0.265827,1.345195,0,61.798425,0,20.062398,1922.371716,0.16065,298,121,15.378906,3.506022,51.315958,20.131185,0,NoPornografico
0.666866,0.310356,17.904095,86.114476,220.15638,0.630062,0.724796,0.129372,1.078806,193555,23.922496,1,21.849622,5391.97388,0.088225,316,216,66.443685,4.822917,68.046491,64.552409,0,Pornografico
0.628624,0.445518,29.262241,80.858652,176.867624,0.580901,0.513941,0.553539,0.398105,0,39.134522,0,50.830558,1076.156421,0.151346,434,74,4.540365,3.844238,56.239616,12.11849,0,NoPornografico
0.648893,0.751933,25.904118,102.19249,182.852277,0.64845,0.78326,0.324371,-0.436627,0,1.519517,1,30.172143,1376.173665,0.172542,475,250,8.464681,6.836426,64.059703,26.475586,0,Pornografico
0.492095,0.521022,15.548109,153.770876,79.363507,0.54006,0.549614,0.19416,0.158384,0,44.456518,0,26.557614,1955.394011,0.108678,143,147,10.76416,3.719401,49.173254,27.560872,0,NoPornografico
0.574863,0.417893,20.585525,94.63029,213.337336,0.554168,0.385741,0.420439,-0.907859,0,46.1626,0,31.763008,1104.198052,0.173929,222,105,5.493327,2.103353,37.586118,12.30013,0,NoPornografico
0.339723,0.438293,23.378533,70.89068,119.903755,0.382015,0.153149,0.501544,0,0,0.204358,0,48.022506,1188.648845,0.094184,156,265,3.447103,2.757487,38.239159,12.958659,0,Pornografico
0.292591,0.497606,19.734437,53.92126,210.170179,0.301051,0.56024,0.594624,-0.084703,0,52.027596,1,43.742909,1510.153462,0.099153,447,114,5.857585,2.944336,27.943461,11.984701,0,NoPornografico
0.504476,0.658303,14.387142,116.27708,199.009951,0.551165,0.543705,0.291929,1.452511,0,1.84982,0,7.346646,6834.896895,0.041536,343,233,50.263835,5.022135,55.999402,55.97526,0,Pornografico
0.690075,0.496214,45.226527,83.626035,149.21532,0.495479,0.030369,0.479396,-0.982794,0,36.397636,0,67.774349,832.842712,0.416652,441,181,7.486328,4.693359,40.993921,15.144857,0,NoPornografico
0.635178,0.767958,14.920042,78.730489,192.075413,0.613241,0.451354,0.554851,0.454515,0,95.289712,0,13.030693,2771.238816,0.097657,298,241,19.427734,0.638509,68.722796,19.820313,0,NoPornografico
0.314837,0.360822,13.885621,57.880261,175.605359,0.324575,0.93391,0.19713,1.026964,0,26.434579,0,37.328482,457.03658,0.129314,290,229,0.699707,0.457845,27.484057,3.057617,0,NoPornografico
0.490925,0.643029,34.49253,105.269787,152.755027,0.624089,0.899248,0.253092,0.286698,0,66.403853,1,55.739904,1722.34733,0.206363,482,336,15.857747,3.803385,63.859232,30.552083,6.14665,NoPornografico
0.322424,0.746779,28.161839,81.514163,143.093856,0.467468,1.032098,0.586996,1.320746,0,59.957907,0,36.185916,4179.190042,0.04121,253,404,18.644531,16.645182,51.132713,45.317708,26.415786,NoPornografico
0.546131,0.409851,20.048461,163.185001,185.586851,0.529492,0.50886,0.426895,-1.182866,0,100,0,16.428334,5089.713996,0.06873,371,247,46.121419,2.354167,58.068958,44.896484,0,NoPornografico
0.568447,0.427884,42.434311,110.217103,83.940449,0.575102,0.641752,0.368704,1.042722,0,38.557432,0,68.086908,1595.276262,0.131606,112,138,8.675944,5.116374,34.480363,23.057292,16.10995,NoPornografico
0.503841,0.4715,30.025915,79.90723,195.299434,0.523737,0.467634,0.308989,1.544487,0,31.536848,0,46.220027,404.066017,0.169289,317,165,0.715983,0.414551,50.228954,2.482422,0,NoPornografico
0.483227,0.482769,59.970117,100.629149,139.041675,0.318233,3.550033,0.734364,1.088145,0,49.945079,0,77.026533,1368.579869,0.088806,469,274,4.308757,1.504883,41.958042,9.779622,0,NoPornografico
0.419327,0.797944,31.525862,81.854611,136.475688,0.440236,0.525461,0.198701,-0.216874,0,45.345705,0,55.234516,511.563492,0.202015,331,164,1.369466,0.543132,30.589506,3.262695,0,NoPornografico
0.774434,0.294049,16.472322,114.549126,185.139503,0.692785,1.038474,0.310801,0.716172,0,1.600514,0,31.631045,3373.349422,0.243084,331,271,71.655111,3.234375,76.412994,67.238607,0,Pornografico
0.564634,0.57811,12.93136,82.865525,174.208484,0.583606,0.225538,0.372063,-0.191184,0,3.451697,0,8.839022,3534.660172,0.109403,303,160,35.407227,4.19694,49.317462,45.645182,0,Pornografico
0.536637,0.390693,33.664049,97.729985,180.882822,0.553197,0.908371,0.456162,0.682623,0,0.390205,0,50.677841,2070.562625,0.086538,347,164,9.610677,8.23584,55.088789,25.610352,0,Pornografico
0.654032,0.639056,36.252541,77.904216,206.12227,0.661514,0.248439,0.792228,1.405648,0,26.041622,0,55.431007,492.977705,0.304791,250,207,1.918783,1.44401,37.222033,7.648763,0,NoPornografico
0.434465,0.562468,27.984946,66.54065,117.695229,0.435546,0.357663,0.305032,0.467379,0,65.188035,1,46.626068,2349.391052,0.068327,451,167,9.769531,6.130371,53.927603,17.597331,0,NoPornografico
0.928537,0.667746,12.947146,74.256537,223.419882,0.919165,0.619987,0.251529,-0.950547,0,20.300011,1,10.043393,436.183766,0.755642,587,424,3.724121,3.553874,35.063108,18.488932,0,NoPornografico
0.463997,0.59357,32.965851,153.471867,102.990982,0.547968,0.476474,0.2976,0.589661,0,5.621115,0,56.264151,2750.805266,0.119275,209,245,23.37972,4.018229,55.083328,35.143555,0,Pornografico
0.460964,0.417862,26.270909,92.026861,182.779915,0.463115,0.557098,0.450379,0.125769,0,0.434623,0,38.71727,1391.903679,0.111748,332,139,5.608236,5.204753,58.663698,19.906576,0,Pornografico
0.697856,0.572379,13.565033,176.740687,132.497181,0.665846,1,0.319225,1.570796,204548,100,1,30.217507,8645.881743,0.035908,323,230,69.531413,0.865723,66.291992,66.584635,9.454505,NoPornografico
0.864321,0.509759,19.811428,80.101359,198.444645,0.843081,0.430934,0.678849,-0.007633,0,64.549481,0,3.141652,2108.960461,0.355596,144,225,40.969727,12.125488,63.058735,62.243815,8.784968,NoPornografico
0.49316,0.399003,12.712515,75.368429,187.186288,0.501468,0.818639,0.097996,0.64987,0,0.678245,0,4.669822,3803.596247,0.110184,291,277,41.292969,4.856608,54.694546,49.398438,0,Pornografico
0.278343,0.598984,74.607407,91.021053,133.462015,0.289998,0.862631,0.712077,1.144749,0,70.233014,0,70.050852,1242.021428,0.080333,413,265,3.210124,0.573242,23.616796,5.64388,0,NoPornografico
0.546128,0.583475,17.003032,97.61779,182.39328,0.473961,0.846662,0.238074,-0.598911,0,2.353832,0,26.342677,4429.51717,0.0939,375,255,47.724935,5.064128,55.929576,48.963867,0,Pornografico
0.463943,0.551887,27.644288,95.44395,162.011785,0.516221,0.15958,0.102469,1.538549,0,2.486619,0,52.207021,3529.304833,0.084065,233,257,27.124512,3.015625,57.962875,37.749674,0,Pornografico
0.420816,0.642191,78.893794,90.053669,150.476385,0.530897,1.033611,0.540485,1.285393,0,0.331021,0,74.060333,1839.702669,0.115663,305,232,10.140462,4.546875,59.816999,15.086263,0,Pornografico
0.717808,0.448726,13.414501,96.517697,185.862044,0.719567,0.401822,0.513021,-1.566271,0,1.060254,0,15.290172,3043.800215,0.157433,361,329,37.78304,5.045736,69.6346,51.444661,0,Pornografico
0.308027,0.508571,18.350404,144.251275,175.612365,0.408735,1.145497,0.500376,0.990452,43760,20.410733,1,38.04374,2803.373808,0.04614,368,170,9.393066,6.057129,44.790031,36.926107,0,Pornografico
0.33684,0.60394,14.441926,81.153856,208.40326,0.4395,0.667863,0.41011,0.408415,0,0.235646,0,16.361536,1316.974747,0.088675,267,130,3.984049,2.842448,53.323326,16.116862,0,Pornografico
0.433038,0.402834,29.047156,70.512008,197.310063,0.488997,0.768138,0.573511,1.328588,0,42.990654,0,47.426497,1805.761543,0.048568,207,228,4.102376,1.631999,46.684918,11.424479,0,NoPornografico
0.623891,0.233548,13.433474,90.846104,166.304244,0.700072,0.72438,0.239177,-0.252364,0,0.24456,0,15.781715,1446.70772,0.216277,329,341,11.725749,10.672852,42.979256,37.562174,0.029217,Pornografico
0.638869,0.442828,16.009936,100.236095,161.813189,0.567247,0.214001,0.068204,-0.120624,0,98.139955,0,20.17671,3803.589104,0.099559,300,276,37.311035,1.979167,70.869268,33.916341,70.168249,NoPornografico
0.635264,0.524921,16.118138,150.564007,108.192541,0.556033,0.317861,0.233332,0.714091,0,47.49057,0,22.607577,609.002092,0.284933,454,147,2.737467,2.420247,64.452534,6.213542,0,NoPornografico
0.378973,0.423411,11.450456,91.017998,148.988949,0.467045,0.155558,0.129954,1.320353,0,0.175957,0,22.479641,2536.920056,0.052861,232,218,8.812826,4.719076,44.629262,21.797526,0,Pornografico
0.472258,0.65556,19.159556,102.020049,123.420642,0.497333,0.44032,0.302141,0.321751,0,35.230532,0,23.051551,735.87215,0.180661,357,166,2.53418,2.018392,67.9853,9.305339,0,NoPornografico
