@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement-V'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.634592,0.594641,21.416973,82.396016,139.822439,0.692742,0.861416,0.405654,-1.353103,46111,44.69896,1,29.649798,1531.570635,0.224538,96,377,13.643717,6.534668,71.833006,33.580404,0,NoPornografico
0.61799,0.56999,21.116767,114.991616,114.901233,0.62764,0.659345,0.391975,0.836101,0,33.419187,0,18.076726,2575.124025,0.096882,227,322,16.64209,16.505859,63.758874,37.635091,0,Pornografico
0.59972,0.635743,13.377656,134.96472,165.018617,0.777822,0.606412,0.302286,-0.781749,0,1.769609,0,30.819612,4963.385135,0.093635,389,272,59.753581,20.590495,79.229976,79.242839,0,Pornografico
0.502091,0.487528,12.964514,66.273911,168.595171,0.428976,0.852567,0.509313,1.205049,0,38.660233,0,14.640547,548.43355,0.159493,354,149,1.242676,1.212402,23.448943,3.44043,0,NoPornografico
0.615364,0.392912,17.79627,142.024864,140.104817,0.625019,0.167107,0.514654,0.073939,0,48.748561,0,30.784483,473.404112,0.430156,164,126,2.497233,2.158203,32.235319,5.371419,0,NoPornografico
0.372563,0.516845,44.162408,82.578863,90.431037,0.411148,0.394577,0.246898,0.918927,0,59.315492,0,56.048305,1306.045815,0.112904,365,152,4.98877,2.976237,36.330091,10.119792,0,NoPornografico
0.451814,0.673359,23.342822,76.480858,174.610081,0.509153,0.249033,0.230856,0.549153,0,8.105155,0,39.806612,1804.964646,0.13197,311,232,11.13737,1.972656,52.586695,17.523112,2.802877,Pornografico
0.435659,0.415923,34.504902,79.012835,156.537665,0.454261,0.319287,0.285917,-0.435683,0,0.611101,0,47.96483,3768.684558,0.077954,318,295,28.680664,5.184408,46.557591,37.751953,0.108136,Pornografico
0.510864,0.378398,41.700408,112.709102,174.944649,0.495947,1.218866,0.547418,1.387174,0,47.859397,0,63.406566,1067.050865,0.179297,395,185,5.288249,3.032552,44.646892,12.066732,0,NoPornografico
0.427386,0.416271,19.724262,82.857194,162.634483,0.351194,0.561017,0.250134,0.574826,0,7.861611,0,11.035852,4355.264428,0.044771,387,238,21.998535,6.653483,44.488791,30.494141,0,Pornografico
0.435306,0.676762,28.098819,85.203993,173.821102,0.42205,0.456654,0.135313,-1.147357,0,0.20684,0,32.6648,3318.057141,0.054926,330,284,15.664388,2.428711,45.504435,22.999349,0,Pornografico
0.401717,0.723679,30.091721,92.835603,166.346795,0.376002,1.09708,0.359755,1.169402,52177,45.599699,1,39.014385,2473.325035,0.10825,447,191,17.153809,12.525391,47.333921,37.247396,15.770293,NoPornografico
0.322205,0.445362,69.620582,140.616981,148.95479,0.314143,0.259877,0.607277,0.833396,0,48.500735,0,82.402259,2817.543289,0.05767,287,72,11.859375,7.156738,36.267197,32.785156,0,NoPornografico
0.431937,0.402908,16.995254,104.688422,202.21617,0.555639,0.593178,0.423311,0.947131,0,5.72526,0,17.025771,2813.187084,0.079719,296,211,16.342936,11.679362,61.736102,37.847656,0.165905,Pornografico
0.387464,0.703544,12.315127,114.011183,132.806526,0.39823,0.722502,0.274871,1.042722,0,45.327283,0,9.13089,2574.888527,0.035188,256,141,6.043457,4.032552,23.082228,14.347331,0,NoPornografico
0.642676,0.524329,15.533333,93.809938,157.532742,0.519599,0.414399,0.286027,1.196854,0,38.060108,0,30.176755,1757.668181,0.120382,474,258,9.633952,6.783529,46.395341,23.297852,0,NoPornografico
0.384636,0.276402,14.346684,53.676595,218.590186,0.397878,0.825461,0.230035,1.33296,0,0.162264,0,22.341444,2361.089537,0.061177,255,156,8.834473,4.685221,36.695382,19.123698,0,Pornografico
0.399058,0.441092,24.875754,76.967779,139.512931,0.477653,0.491224,0.450005,1.117284,0,3.462039,0,34.669892,3478.202236,0.049814,233,277,15.61084,4.311686,44.684194,28.563802,0,Pornografico
0.603641,0.529449,27.820468,103.772762,208.565058,0.595367,0.058187,0.262297,0.266252,0,53.427922,0,35.735018,845.813275,0.331145,439,308,6.136719,3.086751,51.509475,11.88444,0,NoPornografico
0.601561,0.52849,32.111364,84.962867,183.091748,0.530979,0.3489,0.419683,-0.942,0,71.879585,0,60.680121,1128.825469,0.142459,329,216,4.702311,1.269368,65.986111,6.877279,0,NoPornografico
0.500615,0.570368,20.481424,91.353914,157.75114,0.468717,0.336751,0.23632,-0.436627,0,0.526464,0,3.396213,1093.244733,0.096142,339,331,2.976563,0.830078,38.338853,7.172852,0,Pornografico
0.438531,0.579109,13.814192,65.352708,157.610878,0.49043,0.704667,0.34407,0.058756,0,58.215572,0,16.168378,379.923882,0.152572,334,95,0.570475,0.375163,46.875513,1.174805,0,NoPornografico
0.39376,0.356554,24.13071,70.438525,155.710585,0.398606,0.627502,0.19616,0.161191,0,47.386212,0,48.450655,1531.158513,0.105649,319,264,6.416178,1.330404,39.301566,14.926107,0,NoPornografico
0.573786,0.468846,28.491537,69.992862,147.77335,0.461906,0.507642,0.489699,1.260628,0,93.11408,0,49.274821,1437.803174,0.168496,264,222,9.023112,1.243164,59.461006,7.918294,0,NoPornografico
0.451339,0.536862,13.817935,90.704422,151.633385,0.558186,0.993979,0.429684,-0.38869,0,2.44945,0,19.541293,2822.812409,0.060147,416,350,12.415039,3.013672,61.933647,28.174479,0,Pornografico
0.406167,0.338156,27.616095,70.684095,174.572226,0.399611,0.2294,0.503509,1.218752,0,0.215851,0,51.770297,2162.361615,0.118351,344,192,14.334961,5.839518,45.865526,27.50944,0,Pornografico
0.427757,0.429944,19.505488,96.131989,110.583081,0.471589,0.953272,0.328921,1.255442,0,34.670858,0,30.290612,1256.849855,0.108153,380,222,4.425618,3.577311,44.342695,14.602539,0,NoPornografico
0.591014,0.600291,25.053012,94.068347,157.062143,0.457149,0.248759,0.228487,-1.144169,0,2.295941,0,34.007119,2514.025612,0.126267,360,266,20.672689,3.058757,59.4694,22.093424,0,Pornografico
0.340503,0.392097,27.064566,134.719848,129.398456,0.471553,0.845983,0.417208,1.073335,0,67.857072,0,49.172518,3550.289681,0.04611,259,233,15.055501,12.32666,56.534192,32.905599,13.182834,NoPornografico
0.375911,0.304646,38.913957,98.041871,116.969444,0.320075,1.989559,0.690434,1.24096,0,73.172822,0,47.246296,2147.124025,0.045839,351,299,5.474121,0.566895,38.604129,8.355469,0,NoPornografico
0.660987,0.575687,19.838762,80.463624,144.292173,0.275426,0.793013,0.847474,1.327037,0,25.641758,0,17.868963,803.085353,0.167946,143,321,2.805827,2.111654,28.029521,11.400065,0,NoPornografico
0.711948,0.64683,19.559759,144.274823,142.307292,0.716332,0.20536,0.225752,-1.083897,0,82.421189,0,31.758253,2498.697618,0.143749,149,292,23.248861,2.208333,71.762402,28.561849,47.83798,NoPornografico
0.689118,0.518132,12.500373,121.170792,162.893211,0.636235,0.179025,0.605726,-0.944053,0,42.895577,0,14.570394,1721.903679,0.279802,403,243,21.490072,17.386068,57.690919,46.582357,28.783167,NoPornografico
0.361211,0.4391,54.5714,56.477687,198.77335,0.325537,1.355463,0.495046,1.328632,0,54.919688,1,54.93181,1467.366666,0.126465,492,334,7.053711,2.819987,44.108717,13.53776,0,NoPornografico
0.542126,0.636622,19.942606,111.685149,162.812825,0.539384,0.016665,0.325767,-1.405648,0,100,0,21.357799,5467.28463,0.039847,209,235,30.853678,0.687337,62.58485,30.846029,0,NoPornografico
0.619269,0.642588,11.9512,98.47285,152.951515,0.562863,0.495989,0.228467,-1.393969,161294,4.496222,1,17.046744,6944.931383,0.046061,256,276,57.549316,2.887044,57.566145,56.655599,0.998182,Pornografico
0.586109,0.561066,28.7192,113.827541,113.488921,0.441264,0.422708,0.310627,-1.412706,0,95.137501,0,42.553305,2344.160605,0.098581,351,243,14.032552,0.624186,65.700887,14.500326,0,NoPornografico
0.527871,0.530374,18.258654,80.358094,181.141332,0.483168,0.200247,0.238282,1.355981,0,1.749694,0,23.233347,4124.161831,0.03958,335,260,17.438639,2.427409,63.915595,21.773112,0,Pornografico
0.558811,0.478522,26.769067,136.832011,135.013594,0.518636,0.854175,0.333635,0.651562,0,100,0,43.563102,5034.733332,0.08196,336,194,53.817708,3.009277,67.599142,50.134766,0,NoPornografico
0.379946,0.471203,17.101132,160.132038,130.809117,0.679632,0.366724,0.341756,0.590974,0,3.146096,1,26.651151,3938.525179,0.055636,320,206,22.355957,15.023275,68.173015,52.13444,0,Pornografico
0.58231,0.77766,17.580785,111.119616,168.068193,0.628789,0.252049,0.26727,1.134919,193164,1.132944,1,22.821246,6628.428858,0.050978,257,226,58.01888,3.342773,64.257899,63.776367,0,Pornografico
0.363275,0.616362,14.805174,62.99687,209.474267,0.412218,0.872917,0.463079,0.414906,0,0.81504,0,23.763729,1809.633693,0.090064,396,186,7.640137,2.961426,41.540789,26.888021,0,Pornografico
0.670096,0.722807,27.486476,74.811429,169.578286,0.586921,0.450237,0.304857,1.138389,0,82.935582,0,36.60091,385.865007,0.399589,357,70,1.541178,0.268229,25.607639,1.814128,0,NoPornografico
0.520136,0.468691,26.391064,109.437672,143.005067,0.574742,1.54923,0.597393,1.269074,0,58.941222,0,39.639069,1747.168614,0.271793,557,187,21.492025,7.456706,62.516354,40.527995,22.164303,NoPornografico
0.409672,0.331512,89.544075,59.729925,132.864207,0.390641,0.363814,0.46684,0.897706,0,71.516682,0,75.908727,1316.104689,0.097335,336,297,4.36735,1.775879,55.471077,6.702799,0,NoPornografico
0.475105,0.302824,37.311845,52.228521,232.134786,0.434879,0.66565,0.3658,0.67854,0,0.666844,0,42.180881,1237.193001,0.211506,158,261,8.38623,4.096842,43.789588,19.765951,0,Pornografico
0.574529,0.400789,13.949813,145.950591,127.930098,0.546959,0.470994,0.289249,0.681017,0,100,0,17.026305,6594.303966,0.050421,353,194,56.795736,1.695313,60.579064,54.268555,0,NoPornografico
0.494919,0.313174,15.872773,130.609824,194.440367,0.576245,1.202423,0.337499,0.679849,0,0.219918,0,1.957388,1405.685425,0.262209,273,284,13.421224,9.040039,61.169365,53.394531,0,Pornografico
0.40462,0.353368,39.10495,66.6352,157.976965,0.461235,1.296366,0.512226,-1.560407,65975,0.295386,1,42.630117,2822.790981,0.09078,109,325,18.737793,7.08903,50.902172,27.23763,0.000484,Pornografico
0.478763,0.977778,11.34127,123.131141,180.097506,0.31746,3.443719,0.765886,0.73892,0,0.003924,0,33.486456,172.610173,0.244838,468,243,9.088867,0.395671,79.934562,54.144857,0,Pornografico
0.850184,0.55973,12.203014,121.657024,200.268799,0.861792,0.204593,0.642269,1.570796,104656,1.924771,1,1.93242,1948.47518,0.339679,110,240,33.40625,22.002604,77.557635,77.592773,0,Pornografico
0.50877,0.64342,18.800048,119.172432,187.792013,0.472002,0.381739,0.026479,0.191502,118718,100,1,14.02786,5422.917098,0.054463,294,285,41.489421,0.858398,64.056852,38.645182,47.090584,NoPornografico
0.55263,0.549857,15.755069,98.228553,175.798683,0.537284,0.601169,0.307333,-1.289959,0,39.939662,0,11.98978,1778.454978,0.104034,318,216,8.523763,6.70638,51.172083,24.277344,0,NoPornografico
0.589826,0.514131,17.364167,127.837664,182.630814,0.67297,0.813621,0.212211,-1.49154,0,0.607168,0,6.062503,2885.689609,0.08973,443,246,19.355469,11.872233,60.214944,44.168945,0.079944,Pornografico
0.489721,0.425655,24.785927,63.581633,167.328116,0.444773,0.301099,0.263552,-1.234962,0,1.186102,0,42.234794,2462.243866,0.124962,155,272,19.625,15.214681,53.541682,38.20931,0,Pornografico
0.460248,0.641079,13.944976,111.556172,190.764423,0.500636,0.687576,0.115656,-0.733077,0,1.619312,0,26.934342,4044.130301,0.056744,268,255,24.040365,2.321615,55.57629,36.769206,0,Pornografico
0.489988,0.375909,25.951754,114.367655,191.754119,0.528054,0.434089,0.223571,-0.612445,0,1.474149,0,36.439259,4512.941484,0.07552,316,270,39.842611,2.760579,53.366624,49.255534,0,Pornografico
0.310936,0.604374,23.881842,79.046098,117.779853,0.407424,1.643636,0.48954,0.1135,0,0.789262,0,35.098267,2707.4987,0.062628,267,329,11.892578,2.601563,50.313034,24.164714,0,Pornografico
0.704098,0.397834,28.931278,99.550426,197.943308,0.709474,0.722483,0.782289,-0.246161,0,31.571903,1,53.701674,737.095454,0.319126,505,453,4.491374,2.414876,26.328424,14.593424,0,NoPornografico
0.545392,0.643422,13.753632,99.187847,121.978879,0.542162,0.798754,0.535295,-0.072272,0,0.444995,0,19.484716,2766.167748,0.140618,300,332,27.871908,6.068197,64.335871,43.64974,0.086229,Pornografico
0.551559,0.509852,18.45977,71.99954,161.128276,0.517701,1.381961,0.66308,0.397079,0,26.847878,0,23.223237,235.982756,0.22735,403,397,0.327962,0.101074,24.320652,1.365234,0,NoPornografico
0.655447,0.418181,22.43104,123.248278,125.744941,0.708124,0.711327,0.395496,-1.218363,0,97.916793,1,31.368965,4454.042856,0.122409,284,225,62.905599,2.34196,75.445509,69.816732,0,NoPornografico
0.531069,0.625866,11.503556,112.677005,157.795867,0.648815,0.094073,0.339352,1.177346,0,1.329536,0,21.712995,6429.105048,0.039002,247,261,41.75944,8.86849,66.059327,59.836914,0.037036,Pornografico
0.612234,0.749489,33.230577,100.474834,147.850381,0.613515,0.230953,0.134631,0.523685,0,3.302895,0,58.056378,3179.991124,0.096291,402,277,25.22347,6.400553,62.170589,34.357422,0,Pornografico
0.363338,0.617252,16.507236,76.79636,157.424218,0.336065,0.565736,0.428231,0.557923,0,0.240494,0,9.492781,1547.359523,0.084161,331,206,5.219889,2.571289,55.736645,11.211263,0,Pornografico
0.407721,0.71971,15.31317,89.775293,153.98904,0.462475,0.169645,0.518432,0.214593,0,0.741092,1,11.846644,2516.108873,0.075191,382,326,12.330892,3.271159,45.300673,20.705404,0,Pornografico
0.327174,0.463459,15.319765,70.053845,181.617213,0.405895,0.209937,0.562788,-0.015624,0,1.143128,0,14.745895,4236.490691,0.044586,272,263,20.729004,2.941569,52.861876,26.821615,0,Pornografico
0.48813,0.310582,15.796873,110.117761,162.558177,0.580885,0.336906,0.247616,-0.463648,0,32.198632,0,9.401424,952.984848,0.165046,495,286,3.882813,2.135254,49.303409,14.611654,0,NoPornografico
0.555318,0.367924,33.605694,75.105946,192.323885,0.567145,0.261041,0.757172,-0.499347,0,14.753883,0,58.503453,581.119841,0.159694,228,172,1.396973,1.040853,17.288883,9.932943,0,NoPornografico
